sample	project
DRR099940	PRJDB6156
DRR099941	PRJDB6156
DRR099942	PRJDB6156
DRR099943	PRJDB6156
DRR099944	PRJDB6156
DRR099945	PRJDB6156
DRR099946	PRJDB6156
DRR099947	PRJDB6156
DRR099948	PRJDB6156
ERR1713410	PRJEB13831
ERR1713411	PRJEB13831
ERR1726031	PRJEB13831
ERR1726032	PRJEB13831
ERR1726033	PRJEB13831
ERR1726034	PRJEB13831
ERR1726035	PRJEB13831
ERR2592282	PRJEB13831
ERR2592283	PRJEB13831
ERR2592343	PRJEB13831
SRR10842836	PRJNA587635
SRR10842837	PRJNA587635
SRR10842838	PRJNA587635
SRR10842839	PRJNA587635
SRR10842840	PRJNA587635
SRR10842841	PRJNA587635
SRR10842842	PRJNA587635
SRR10842843	PRJNA587635
SRR10842844	PRJNA587635
SRR10842845	PRJNA587635
SRR10842846	PRJNA587635
SRR10842847	PRJNA587635
SRR10842848	PRJNA587635
SRR10842849	PRJNA587635
SRR10842850	PRJNA587635
SRR10842851	PRJNA587635
SRR10842852	PRJNA587635
SRR10842853	PRJNA587635
SRR10842854	PRJNA587635
SRR10842855	PRJNA587635
SRR10842856	PRJNA587635
SRR10842857	PRJNA587635
SRR10842858	PRJNA587635
SRR10842859	PRJNA587635
SRR10842860	PRJNA587635
SRR10842861	PRJNA587635
SRR10842862	PRJNA587635
SRR10842863	PRJNA587635
SRR10842864	PRJNA587635
SRR10842865	PRJNA587635
SRR10842866	PRJNA587635
SRR10842867	PRJNA587635
SRR10842868	PRJNA587635
SRR10842869	PRJNA587635
SRR10842870	PRJNA587635
SRR10842871	PRJNA587635
SRR11734596	PRJNA629394
SRR11734597	PRJNA629394
SRR11734598	PRJNA629394
SRR11734613	PRJNA629394
SRR11734616	PRJNA629394
SRR11734640	PRJNA629394
SRR11734656	PRJNA629394
SRR11734716	PRJNA629394
SRR11734719	PRJNA629394
SRR11734720	PRJNA629394
SRR11745693	PRJNA631351
SRR11745694	PRJNA631351
SRR11745695	PRJNA631351
SRR11745696	PRJNA631351
SRR11745697	PRJNA631351
SRR12328897	PRJNA624223
SRR12328903	PRJNA624223
SRR12328904	PRJNA624223
SRR12328907	PRJNA624223
SRR12328910	PRJNA624223
SRR12328926	PRJNA624223
SRR12328942	PRJNA624223
SRR12328943	PRJNA624223
SRR12328948	PRJNA624223
SRR12328951	PRJNA624223
SRR4069403	PRJNA340165
SRR4069404	PRJNA340165
SRR4069405	PRJNA340165
SRR4069406	PRJNA340165
SRR4069407	PRJNA340165
SRR4069408	PRJNA340165
SRR6145058	PRJNA413474
SRR6145059	PRJNA413474
SRR6145060	PRJNA413474
SRR6145061	PRJNA413474
SRR6145062	PRJNA413474
SRR6145063	PRJNA413474
SRR6145064	PRJNA413474
SRR6145065	PRJNA413474
SRR6145066	PRJNA413474
SRR6145067	PRJNA413474
SRR6145068	PRJNA413474
SRR6145069	PRJNA413474
SRR6145070	PRJNA413474
SRR6145071	PRJNA413474
SRR6145072	PRJNA413474
SRR6145073	PRJNA413474
SRR6145074	PRJNA413474
SRR6145075	PRJNA413474
SRR6145076	PRJNA413474
SRR6145077	PRJNA413474
SRR6145078	PRJNA413474
SRR6145079	PRJNA413474
SRR6145080	PRJNA413474
SRR6145081	PRJNA413474
SRR6145082	PRJNA413474
SRR6145083	PRJNA413474
SRR6145084	PRJNA413474
SRR6145085	PRJNA413474
SRR6145086	PRJNA413474
SRR6145087	PRJNA413474
SRR6145088	PRJNA413474
SRR6145089	PRJNA413474
SRR6145090	PRJNA413474
SRR6145091	PRJNA413474
SRR6145092	PRJNA413474
SRR6145093	PRJNA413474
SRR6145094	PRJNA413474
SRR6145095	PRJNA413474
SRR6145096	PRJNA413474
SRR6145097	PRJNA413474
SRR6145098	PRJNA413474
SRR6145099	PRJNA413474
SRR6145100	PRJNA413474
SRR6145101	PRJNA413474
SRR6145102	PRJNA413474
SRR6145103	PRJNA413474
SRR6145104	PRJNA413474
SRR6145105	PRJNA413474
SRR7802306	PRJNA489681
SRR7802335	PRJNA489681
SRR7802339	PRJNA489681
SRR7802341	PRJNA489681
SRR7802349	PRJNA489681
SRR7802351	PRJNA489681
SRR7802352	PRJNA489681
SRR7802406	PRJNA489681
SRR7802475	PRJNA489681
SRR7802476	PRJNA489681
SRR9091973	PRJNA475599
SRR9091974	PRJNA475599
SRR9091975	PRJNA475599
SRR9092031	PRJNA475599
SRR9092051	PRJNA475599
SRR9092057	PRJNA475599
SRR9092059	PRJNA475599
SRR9092098	PRJNA475599
SRR9092099	PRJNA475599
SRR9092123	PRJNA475599
SRR9696273	PRJNA472006
SRR9696274	PRJNA472006
SRR9696275	PRJNA472006
SRR9696276	PRJNA472006
SRR9696277	PRJNA472006
SRR9696278	PRJNA472006
SRR9696279	PRJNA472006
SRR9696280	PRJNA472006
SRR9696281	PRJNA472006
SRR9696282	PRJNA472006
SRR9696283	PRJNA472006
SRR9696284	PRJNA472006
