sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145058	Candidatus Nanopelagicaceae	2162846	F	23	1	24	0.00000
SRR6145058	Candidatus Brocadiaceae	1127830	F	7	0	7	0.00000
SRR6145058	Candidatus Paracaedibacteraceae	1777752	F	2	0	2	0.00000
SRR6145058	Candidatus Deianiraeaceae	2603433	F	2	0	2	0.00000
SRR6145058	Candidatus Desulfofervidaceae	1902584	F	1	0	1	0.00000
SRR6145058	Hominidae	9604	F	7868181	4955	7873136	0.86056
SRR6145058	Propionibacteriaceae	31957	F	492884	4849	497733	0.05440
SRR6145058	Staphylococcaceae	90964	F	94213	25306	119519	0.01306
SRR6145058	Moraxellaceae	468	F	65573	2608	68181	0.00745
SRR6145058	Micrococcaceae	1268	F	61939	2927	64866	0.00709
SRR6145058	Streptococcaceae	1300	F	53258	3211	56469	0.00617
SRR6145058	Corynebacteriaceae	1653	F	46135	1032	47167	0.00516
SRR6145058	Actinomycetaceae	2049	F	33786	813	34599	0.00378
SRR6145058	Flavobacteriaceae	49546	F	18980	192	19172	0.00210
SRR6145058	Rhodobacteraceae	31989	F	17791	1280	19071	0.00208
SRR6145058	Burkholderiaceae	119060	F	18243	634	18877	0.00206
SRR6145058	Neisseriaceae	481	F	16500	836	17336	0.00189
SRR6145058	Mycobacteriaceae	1762	F	14822	161	14983	0.00164
SRR6145058	Gordoniaceae	85026	F	12694	536	13230	0.00145
SRR6145058	Pseudomonadaceae	135621	F	11969	602	12571	0.00137
SRR6145058	Sphingomonadaceae	41297	F	11653	720	12373	0.00135
SRR6145058	Xanthomonadaceae	32033	F	10734	328	11062	0.00121
SRR6145058	Siphoviridae	10699	F	3697	7299	10996	0.00120
SRR6145058	Comamonadaceae	80864	F	7423	3496	10919	0.00119
SRR6145058	Tsukamurellaceae	85028	F	9649	358	10007	0.00109
SRR6145058	Caulobacteraceae	76892	F	9557	416	9973	0.00109
SRR6145058	Microbacteriaceae	85023	F	9593	286	9879	0.00108
SRR6145058	Pasteurellaceae	712	F	9472	347	9819	0.00107
SRR6145058	Dermacoccaceae	145357	F	9235	471	9706	0.00106
SRR6145058	Bradyrhizobiaceae	41294	F	8762	426	9188	0.00100
SRR6145058	Enterobacteriaceae	543	F	6409	2694	9103	0.00099
SRR6145058	Dietziaceae	85029	F	8042	840	8882	0.00097
SRR6145058	Nocardiaceae	85025	F	6995	1618	8613	0.00094
SRR6145058	Intrasporangiaceae	85021	F	8377	263	8640	0.00094
SRR6145058	Streptomycetaceae	2062	F	8427	98	8525	0.00093
SRR6145058	Deinococcaceae	183710	F	7276	11	7287	0.00080
SRR6145058	Methylobacteriaceae	119045	F	5556	310	5866	0.00064
SRR6145058	Prevotellaceae	171552	F	5591	135	5726	0.00063
SRR6145058	Veillonellaceae	31977	F	5660	13	5673	0.00062
SRR6145058	Peptoniphilaceae	1570339	F	4403	314	4717	0.00052
SRR6145058	Rhizobiaceae	82115	F	3551	439	3990	0.00044
SRR6145058	Nocardioidaceae	85015	F	3997	68	4065	0.00044
SRR6145058	Halomonadaceae	28256	F	3899	63	3962	0.00043
SRR6145058	Leptotrichiaceae	1129771	F	3661	23	3684	0.00040
SRR6145058	Acetobacteraceae	433	F	3256	331	3587	0.00039
SRR6145058	Brevibacteriaceae	85019	F	3327	118	3445	0.00038
SRR6145058	Yersiniaceae	1903411	F	2990	230	3220	0.00035
SRR6145058	Pseudonocardiaceae	2070	F	3185	-63	3122	0.00034
SRR6145058	Sphingobacteriaceae	84566	F	2987	75	3062	0.00033
SRR6145058	Fusobacteriaceae	203492	F	2700	13	2713	0.00030
SRR6145058	Dermabacteraceae	85020	F	2576	64	2640	0.00029
SRR6145058	Oxalobacteraceae	75682	F	2065	85	2150	0.00024
SRR6145058	Micromonosporaceae	28056	F	2087	25	2112	0.00023
SRR6145058	Alcaligenaceae	506	F	1557	469	2026	0.00022
SRR6145058	Rhodospirillaceae	41295	F	1570	352	1922	0.00021
SRR6145058	Lactobacillaceae	33958	F	1673	130	1803	0.00020
SRR6145058	Carnobacteriaceae	186828	F	1798	27	1825	0.00020
SRR6145058	Bacillaceae	186817	F	1717	94	1811	0.00020
SRR6145058	Erythrobacteraceae	335929	F	1532	157	1689	0.00018
SRR6145058	Phyllobacteriaceae	69277	F	1391	80	1471	0.00016
SRR6145058	Aerococcaceae	186827	F	1362	45	1407	0.00015
SRR6145058	Porphyromonadaceae	171551	F	1034	61	1095	0.00012
SRR6145058	Bifidobacteriaceae	31953	F	1061	-8	1053	0.00012
SRR6145058	Erwiniaceae	1903409	F	899	67	966	0.00011
SRR6145058	Campylobacteraceae	72294	F	1012	3	1015	0.00011
SRR6145058	Aeromonadaceae	84642	F	938	104	1042	0.00011
SRR6145058	Tannerellaceae	2005525	F	843	29	872	0.00010
SRR6145058	Isosphaeraceae	1763524	F	120	674	794	0.00009
SRR6145058	Cellulomonadaceae	85016	F	794	27	821	0.00009
SRR6145058	Xanthobacteraceae	335928	F	680	65	745	0.00008
SRR6145058	Spirochaetaceae	137	F	623	2	625	0.00007
SRR6145058	Promicromonosporaceae	85017	F	597	19	616	0.00007
SRR6145058	Leuconostocaceae	81850	F	593	17	610	0.00007
SRR6145058	Geodermatophilaceae	85030	F	639	14	653	0.00007
SRR6145058	Clostridiaceae	31979	F	651	18	669	0.00007
SRR6145058	Zoogloeaceae	2008794	F	497	66	563	0.00006
SRR6145058	Sporichthyaceae	85033	F	528	5	533	0.00006
SRR6145058	Selenomonadaceae	1843491	F	530	1	531	0.00006
SRR6145058	Rhodanobacteraceae	1775411	F	520	25	545	0.00006
SRR6145058	Lachnospiraceae	186803	F	496	23	519	0.00006
SRR6145058	Hyphomicrobiaceae	45401	F	565	23	588	0.00006
SRR6145058	Cardiobacteriaceae	868	F	520	11	531	0.00006
SRR6145058	Polyangiaceae	49	F	347	96	443	0.00005
SRR6145058	Peptostreptococcaceae	186804	F	440	46	486	0.00005
SRR6145058	Paenibacillaceae	186822	F	452	15	467	0.00005
SRR6145058	Nakamurellaceae	85031	F	419	7	426	0.00005
SRR6145058	Hymenobacteraceae	1853232	F	443	3	446	0.00005
SRR6145058	Frankiaceae	74712	F	378	40	418	0.00005
SRR6145058	Beijerinckiaceae	45404	F	204	211	415	0.00005
