sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145058	Candidatus Nanopelagicales	2039638	O	23	1	24	0.00000
SRR6145058	Candidatus Brocadiales	1127829	O	7	0	7	0.00000
SRR6145058	Primates	9443	O	7868181	4955	7873136	0.86056
SRR6145058	Propionibacteriales	85009	O	497024	4775	501799	0.05485
SRR6145058	Bacillales	1385	O	102867	19249	122116	0.01335
SRR6145058	Corynebacteriales	85007	O	101390	1523	102913	0.01125
SRR6145058	Micrococcales	85006	O	98986	2660	101646	0.01111
SRR6145058	Pseudomonadales	72274	O	77558	3194	80752	0.00883
SRR6145058	Lactobacillales	186826	O	59302	3208	62510	0.00683
SRR6145058	Actinomycetales	2037	O	33786	813	34599	0.00378
SRR6145058	Burkholderiales	80840	O	32956	1025	33981	0.00371
SRR6145058	Rhizobiales	356	O	22803	421	23224	0.00254
SRR6145058	Flavobacteriales	200644	O	19023	187	19210	0.00210
SRR6145058	Rhodobacterales	204455	O	17887	1273	19160	0.00209
SRR6145058	Neisseriales	206351	O	16870	825	17695	0.00193
SRR6145058	Sphingomonadales	204457	O	13564	499	14063	0.00154
SRR6145058	Enterobacterales	91347	O	11369	2629	13998	0.00153
SRR6145058	Xanthomonadales	135614	O	11313	294	11607	0.00127
SRR6145058	Caudovirales	28883	O	3961	7348	11309	0.00124
SRR6145058	Caulobacterales	204458	O	9557	416	9973	0.00109
SRR6145058	Pasteurellales	135625	O	9472	347	9819	0.00107
SRR6145058	Streptomycetales	85011	O	8427	98	8525	0.00093
SRR6145058	Bacteroidales	171549	O	8325	15	8340	0.00091
SRR6145058	Deinococcales	118964	O	7310	11	7321	0.00080
SRR6145058	Fusobacteriales	203491	O	6374	24	6398	0.00070
SRR6145058	Veillonellales	1843489	O	5660	13	5673	0.00062
SRR6145058	Rhodospirillales	204441	O	4855	655	5510	0.00060
SRR6145058	Tissierellales	1737405	O	4420	451	4871	0.00053
SRR6145058	Oceanospirillales	135619	O	4130	61	4191	0.00046
SRR6145058	Pseudonocardiales	85010	O	3185	-63	3122	0.00034
SRR6145058	Sphingobacteriales	200666	O	2987	75	3062	0.00033
SRR6145058	Clostridiales	186802	O	2328	75	2403	0.00026
SRR6145058	Micromonosporales	85008	O	2087	25	2112	0.00023
SRR6145058	Myxococcales	29	O	1367	1	1368	0.00015
SRR6145058	Streptosporangiales	85012	O	1062	14	1076	0.00012
SRR6145058	Campylobacterales	213849	O	1089	1	1090	0.00012
SRR6145058	Bifidobacteriales	85004	O	1061	-8	1053	0.00012
SRR6145058	Aeromonadales	135624	O	939	104	1043	0.00011
SRR6145058	Cytophagales	768507	O	888	0	888	0.00010
SRR6145058	Rhodocyclales	206389	O	720	78	798	0.00009
SRR6145058	Isosphaerales	2691356	O	120	674	794	0.00009
SRR6145058	Nostocales	1161	O	782	-18	764	0.00008
SRR6145058	Alteromonadales	135622	O	707	8	715	0.00008
SRR6145058	Spirochaetales	136	O	642	1	643	0.00007
SRR6145058	Geodermatophilales	1643682	O	639	14	653	0.00007
SRR6145058	Sporichthyales	2495578	O	528	5	533	0.00006
SRR6145058	Selenomonadales	909929	O	550	1	551	0.00006
SRR6145058	Nitrosomonadales	32003	O	398	128	526	0.00006
SRR6145058	Coriobacteriales	84999	O	509	3	512	0.00006
SRR6145058	Chromatiales	135613	O	576	6	582	0.00006
SRR6145058	Cellvibrionales	1706369	O	527	2	529	0.00006
SRR6145058	Cardiobacteriales	135615	O	520	11	531	0.00006
SRR6145058	Nakamurellales	1643684	O	419	7	426	0.00005
SRR6145058	Frankiales	85013	O	415	3	418	0.00005
SRR6145058	Rubrobacterales	84996	O	344	0	344	0.00004
SRR6145058	Brachyspirales	1643686	O	21	359	380	0.00004
SRR6145058	Vibrionales	135623	O	283	5	288	0.00003
SRR6145058	Synechococcales	1890424	O	247	4	251	0.00003
SRR6145058	Haloferacales	1644055	O	250	12	262	0.00003
SRR6145058	Chitinophagales	1853229	O	252	0	252	0.00003
SRR6145058	Zurhausenvirales	2732533	O	196	-14	182	0.00002
SRR6145058	Thermales	68933	O	156	0	156	0.00002
SRR6145058	Rickettsiales	766	O	205	-3	202	0.00002
SRR6145058	Planctomycetales	112	O	191	33	224	0.00002
SRR6145058	Natrialbales	1644060	O	204	2	206	0.00002
SRR6145058	Methylococcales	135618	O	92	89	181	0.00002
SRR6145058	Jiangellales	1217098	O	214	3	217	0.00002
SRR6145058	Halobacteriales	2235	O	213	10	223	0.00002
SRR6145058	Gemmatales	2691355	O	222	0	222	0.00002
SRR6145058	Desulfuromonadales	69541	O	178	3	181	0.00002
SRR6145058	Desulfovibrionales	213115	O	206	2	208	0.00002
SRR6145058	Verrucomicrobiales	48461	O	79	16	95	0.00001
SRR6145058	Thiotrichales	72273	O	101	1	102	0.00001
SRR6145058	Thermoanaerobacterales	68295	O	87	0	87	0.00001
SRR6145058	Solirubrobacterales	588673	O	134	1	135	0.00001
SRR6145058	Pirellulales	2691354	O	122	0	122	0.00001
SRR6145058	Petitvirales	2732414	O	27	28	55	0.00001
SRR6145058	Oscillatoriales	1150	O	118	4	122	0.00001
SRR6145058	Opitutales	415000	O	116	1	117	0.00001
SRR6145058	Nevskiales	1775403	O	107	2	109	0.00001
SRR6145058	Mycoplasmatales	2085	O	117	1	118	0.00001
SRR6145058	Methanococcales	2182	O	49	0	49	0.00001
SRR6145058	Legionellales	118969	O	108	0	108	0.00001
SRR6145058	Kineosporiales	622452	O	90	2	92	0.00001
SRR6145058	Hydrogenophilales	119069	O	71	1	72	0.00001
SRR6145058	Glycomycetales	85014	O	49	83	132	0.00001
SRR6145058	Gemmatimonadales	219686	O	134	0	134	0.00001
SRR6145058	Euzebyales	908621	O	46	0	46	0.00001
SRR6145058	Erysipelotrichales	526525	O	71	21	92	0.00001
SRR6145058	Entomoplasmatales	186328	O	51	3	54	0.00001
SRR6145058	Egicoccales	1755823	O	53	0	53	0.00001
SRR6145058	Eggerthellales	1643822	O	95	0	95	0.00001
SRR6145058	Desulfobacterales	213118	O	96	0	96	0.00001
SRR6145058	Chroococcidiopsidales	1890505	O	124	6	130	0.00001
