sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145059	Cutibacterium acnes	1747	S	819	1	820	0.56241
SRR6145059	Paraburkholderia fungorum	134537	S	335	0	335	0.22977
SRR6145059	Micrococcus luteus	1270	S	211	2	213	0.14609
SRR6145059	Homo sapiens	9606	S	32	0	32	0.02195
SRR6145059	Moraxella osloensis	34062	S	11	1	12	0.00823
SRR6145059	Cutibacterium avidum	33010	S	6	0	6	0.00412
SRR6145059	Staphylococcus epidermidis	1282	S	2	0	2	0.00137
SRR6145059	Paraburkholderia aromaticivorans	2026199	S	2	0	2	0.00137
SRR6145059	Klebsiella michiganensis	1134687	S	1	1	2	0.00137
SRR6145059	Tessaracoccus timonensis	2161816	S	1	0	1	0.00069
SRR6145059	Staphylococcus caprae	29380	S	1	0	1	0.00069
SRR6145059	Rothia mucilaginosa	43675	S	1	0	1	0.00069
SRR6145059	Pseudomonas moraviensis	321662	S	1	0	1	0.00069
SRR6145059	Paraburkholderia terricola	169427	S	1	0	1	0.00069
SRR6145059	Paraburkholderia hospita	169430	S	1	0	1	0.00069
SRR6145059	Paraburkholderia caffeinilytica	1761016	S	1	0	1	0.00069
SRR6145059	Klebsiella oxytoca	571	S	1	0	1	0.00069
SRR6145059	Gammapapillomavirus 8	1175850	S	1	0	1	0.00069
SRR6145059	Enterobacter asburiae	61645	S	1	0	1	0.00069
SRR6145059	Dermacoccus nishinomiyaensis	1274	S	1	0	1	0.00069
SRR6145059	Deinococcus wulumuqiensis	980427	S	1	0	1	0.00069
SRR6145059	Corynebacterium striatum	43770	S	1	0	1	0.00069
SRR6145059	Corynebacterium segmentosum	43990	S	1	0	1	0.00069
SRR6145059	Corynebacterium casei	160386	S	1	0	1	0.00069
SRR6145059	Burkholderia ubonensis	101571	S	1	0	1	0.00069
SRR6145059	Burkholderia sp. PAMC 26561	1795043	S	1	0	1	0.00069
SRR6145059	Betapapillomavirus 3	334207	S	1	0	1	0.00069
SRR6145059	Betapapillomavirus 2	333924	S	1	0	1	0.00069
SRR6145059	Paraburkholderia sp. Msb3	2604047	S	1	0	1	0.00069
SRR6145059	Paraburkholderia sp. DHF22	2571748	S	1	0	1	0.00069
SRR6145059	Micrococcus sp. KBS0714	1179670	S	2	0	2	0.00137
SRR6145059	Burkholderia sp. OLGA172	1804984	S	8	0	8	0.00549
