sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145060	Actinobacteria	1760	C	843	2	845	0.88854
SRR6145060	Gammaproteobacteria	1236	C	48	0	48	0.05047
SRR6145060	Mammalia	40674	C	42	0	42	0.04416
SRR6145060	Bacilli	91061	C	7	0	7	0.00736
SRR6145060	Clostridia	186801	C	2	3	5	0.00526
SRR6145060	Bacteroidia	200643	C	3	0	3	0.00315
SRR6145060	Flavobacteriia	117743	C	1	0	1	0.00105
SRR6145060	Tolucaviricetes	2732463	C	1	-1	0	0.00000
SRR6145060	Chlamydiia	204429	C	1	-1	0	0.00000
SRR6145060	Alphaproteobacteria	28211	C	1	-1	0	0.00000
