sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145060	Propionibacteriaceae	31957	F	829	2	831	0.87382
SRR6145060	Hominidae	9604	F	42	0	42	0.04416
SRR6145060	Moraxellaceae	468	F	39	0	39	0.04101
SRR6145060	Micrococcaceae	1268	F	11	0	11	0.01157
SRR6145060	Pasteurellaceae	712	F	7	0	7	0.00736
SRR6145060	Staphylococcaceae	90964	F	5	0	5	0.00526
SRR6145060	Prevotellaceae	171552	F	3	0	3	0.00315
SRR6145060	Nostocaceae	1162	F	1	1	2	0.00210
SRR6145060	Halomonadaceae	28256	F	2	0	2	0.00210
SRR6145060	Clostridiaceae	31979	F	2	0	2	0.00210
SRR6145060	Streptococcaceae	1300	F	1	0	1	0.00105
SRR6145060	Mycobacteriaceae	1762	F	1	0	1	0.00105
SRR6145060	Flavobacteriaceae	49546	F	1	0	1	0.00105
SRR6145060	Dermacoccaceae	145357	F	1	0	1	0.00105
SRR6145060	Dermabacteraceae	85020	F	1	0	1	0.00105
SRR6145060	Aphanothecaceae	1890450	F	1	0	1	0.00105
SRR6145060	Scytonemataceae	1182	F	2	-2	0	0.00000
SRR6145060	Paenibacillaceae	186822	F	1	-1	0	0.00000
SRR6145060	Luteoviridae	119163	F	1	-1	0	0.00000
SRR6145060	Chlamydiaceae	809	F	1	-1	0	0.00000
SRR6145060	Aphanizomenonaceae	1892259	F	1	-1	0	0.00000
