sample	contig	taxid	name
SRR6145060	k99_10621	1747	Cutibacterium acnes
SRR6145060	k99_12508	9606	Homo sapiens
SRR6145060	k99_15787	1747	Cutibacterium acnes
SRR6145060	k99_11523	1747	Cutibacterium acnes
SRR6145060	k99_9711	1747	Cutibacterium acnes
SRR6145060	k99_2324	1747	Cutibacterium acnes
SRR6145060	k99_10541	1747	Cutibacterium acnes
SRR6145060	k99_6889	1747	Cutibacterium acnes
SRR6145060	k99_13492	1747	Cutibacterium acnes
SRR6145060	k99_14803	1747	Cutibacterium acnes
SRR6145060	k99_8715	1747	Cutibacterium acnes
SRR6145060	k99_14885	1747	Cutibacterium acnes
SRR6145060	k99_1495	1747	Cutibacterium acnes
SRR6145060	k99_2408	1747	Cutibacterium acnes
SRR6145060	k99_8717	889201	Streptococcus cristatus ATCC 51100
SRR6145060	k99_14887	1747	Cutibacterium acnes
SRR6145060	k99_8468	1747	Cutibacterium acnes
SRR6145060	k99_14804	1747	Cutibacterium acnes
SRR6145060	k99_15708	1234380	Cutibacterium acnes C1
SRR6145060	k99_10622	1747	Cutibacterium acnes
SRR6145060	k99_916	1747	Cutibacterium acnes
SRR6145060	k99_14231	1747	Cutibacterium acnes
SRR6145060	k99_9379	9606	Homo sapiens
SRR6145060	k99_15711	1270	Micrococcus luteus
SRR6145060	k99_3571	1747	Cutibacterium acnes
SRR6145060	k99_4731	1747	Cutibacterium acnes
SRR6145060	k99_4649	1234380	Cutibacterium acnes C1
SRR6145060	k99_6059	1747	Cutibacterium acnes
SRR6145060	k99_15295	1747	Cutibacterium acnes
SRR6145060	k99_12837	1747	Cutibacterium acnes
SRR6145060	k99_14727	1747	Cutibacterium acnes
SRR6145060	k99_9216	1747	Cutibacterium acnes
SRR6145060	k99_6480	1747	Cutibacterium acnes
SRR6145060	k99_2740	1747	Cutibacterium acnes
SRR6145060	k99_11690	1747	Cutibacterium acnes
SRR6145060	k99_7141	1747	Cutibacterium acnes
SRR6145060	k99_9384	1747	Cutibacterium acnes
SRR6145060	k99_5648	9606	Homo sapiens
SRR6145060	k99_11530	1269	Micrococcus
SRR6145060	k99_10464	1747	Cutibacterium acnes
SRR6145060	k99_2164	1747	Cutibacterium acnes
SRR6145060	k99_2413	2	Bacteria
SRR6145060	k99_7471	272123	Anabaena cylindrica PCC 7122
SRR6145060	k99_8970	1747	Cutibacterium acnes
SRR6145060	k99_5315	1747	Cutibacterium acnes
SRR6145060	k99_1165	1747	Cutibacterium acnes
SRR6145060	k99_13820	9606	Homo sapiens
SRR6145060	k99_13082	1234380	Cutibacterium acnes C1
SRR6145060	k99_11198	1747	Cutibacterium acnes
SRR6145060	k99_14233	1234380	Cutibacterium acnes C1
SRR6145060	k99_5729	1234380	Cutibacterium acnes C1
SRR6145060	k99_13580	1747	Cutibacterium acnes
SRR6145060	k99_2165	9606	Homo sapiens
SRR6145060	k99_11852	1747	Cutibacterium acnes
SRR6145060	k99_9217	1747	Cutibacterium acnes
SRR6145060	k99_13581	1747	Cutibacterium acnes
SRR6145060	k99_4650	1234380	Cutibacterium acnes C1
SRR6145060	k99_4242	1234380	Cutibacterium acnes C1
SRR6145060	k99_4403	1234380	Cutibacterium acnes C1
SRR6145060	k99_5486	1747	Cutibacterium acnes
SRR6145060	k99_2745	1234380	Cutibacterium acnes C1
SRR6145060	k99_4903	1747	Cutibacterium acnes
SRR6145060	k99_10879	1747	Cutibacterium acnes
SRR6145060	k99_8469	930171	Pseudarthrobacter phenanthrenivorans Sphe3
SRR6145060	k99_2242	1747	Cutibacterium acnes
SRR6145060	k99_2419	1234380	Cutibacterium acnes C1
SRR6145060	k99_7388	1234380	Cutibacterium acnes C1
SRR6145060	k99_13501	1747	Cutibacterium acnes
SRR6145060	k99_4072	1747	Cutibacterium acnes
SRR6145060	k99_13585	1747	Cutibacterium acnes
SRR6145060	k99_4244	1747	Cutibacterium acnes
SRR6145060	k99_11610	1747	Cutibacterium acnes
SRR6145060	k99_6316	1747	Cutibacterium acnes
SRR6145060	k99_8470	1747	Cutibacterium acnes
SRR6145060	k99_11289	1747	Cutibacterium acnes
SRR6145060	k99_10049	1234380	Cutibacterium acnes C1
SRR6145060	k99_11776	1747	Cutibacterium acnes
SRR6145060	k99_9135	1747	Cutibacterium acnes
SRR6145060	k99_8058	1747	Cutibacterium acnes
SRR6145060	k99_8555	1747	Cutibacterium acnes
SRR6145060	k99_7724	1747	Cutibacterium acnes
SRR6145060	k99_3074	1747	Cutibacterium acnes
SRR6145060	k99_6565	44283	Pasteurella multocida subsp. multocida
SRR6145060	k99_15138	1234380	Cutibacterium acnes C1
SRR6145060	k99_6980	1747	Cutibacterium acnes
SRR6145060	k99_11118	1747	Cutibacterium acnes
SRR6145060	k99_1499	1747	Cutibacterium acnes
SRR6145060	k99_7726	1747	Cutibacterium acnes
SRR6145060	k99_2992	1747	Cutibacterium acnes
SRR6145060	k99_8060	1747	Cutibacterium acnes
SRR6145060	k99_6728	1747	Cutibacterium acnes
SRR6145060	k99_12353	1747	Cutibacterium acnes
SRR6145060	k99_15051	1747	Cutibacterium acnes
SRR6145060	k99_13738	44249	Paenibacillus
SRR6145060	k99_5813	1747	Cutibacterium acnes
SRR6145060	k99_8894	1747	Cutibacterium acnes
SRR6145060	k99_13253	1747	Cutibacterium acnes
SRR6145060	k99_1922	1234380	Cutibacterium acnes C1
SRR6145060	k99_13586	1747	Cutibacterium acnes
SRR6145060	k99_15718	119164	Polerovirus
SRR6145060	k99_8391	1747	Cutibacterium acnes
SRR6145060	k99_8638	1234380	Cutibacterium acnes C1
SRR6145060	k99_14152	1747	Cutibacterium acnes
SRR6145060	k99_8809	1234380	Cutibacterium acnes C1
SRR6145060	k99_15468	1747	Cutibacterium acnes
SRR6145060	k99_13908	1747	Cutibacterium acnes
SRR6145060	k99_10953	1747	Cutibacterium acnes
SRR6145060	k99_9883	9606	Homo sapiens
SRR6145060	k99_13255	1234380	Cutibacterium acnes C1
SRR6145060	k99_10384	1747	Cutibacterium acnes
SRR6145060	k99_7148	1747	Cutibacterium acnes
SRR6145060	k99_12921	1234380	Cutibacterium acnes C1
SRR6145060	k99_6572	1747	Cutibacterium acnes
SRR6145060	k99_2661	1234380	Cutibacterium acnes C1
SRR6145060	k99_11942	9606	Homo sapiens
SRR6145060	k99_11372	1234380	Cutibacterium acnes C1
SRR6145060	k99_1837	1747	Cutibacterium acnes
SRR6145060	k99_11203	1234380	Cutibacterium acnes C1
SRR6145060	k99_4661	1747	Cutibacterium acnes
SRR6145060	k99_15299	1747	Cutibacterium acnes
SRR6145060	k99_15300	1747	Cutibacterium acnes
SRR6145060	k99_13416	1747	Cutibacterium acnes
SRR6145060	k99_15629	1747	Cutibacterium acnes
SRR6145060	k99_1502	1747	Cutibacterium acnes
SRR6145060	k99_6733	9606	Homo sapiens
SRR6145060	k99_13740	1747	Cutibacterium acnes
SRR6145060	k99_5997	1747	Cutibacterium acnes
SRR6145060	k99_2428	468	Moraxellaceae
SRR6145060	k99_6821	1747	Cutibacterium acnes
SRR6145060	k99_9552	9606	Homo sapiens
SRR6145060	k99_7396	1747	Cutibacterium acnes
SRR6145060	k99_15058	1747	Cutibacterium acnes
SRR6145060	k99_13746	34062	Moraxella osloensis
SRR6145060	k99_2082	1747	Cutibacterium acnes
SRR6145060	k99_15220	34062	Moraxella osloensis
SRR6145060	k99_7565	1747	Cutibacterium acnes
SRR6145060	k99_5494	9606	Homo sapiens
SRR6145060	k99_9886	1234380	Cutibacterium acnes C1
SRR6145060	k99_5820	748770	Dolichospermum
SRR6145060	k99_3998	1747	Cutibacterium acnes
