sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145060	Candidatus Pelagibacter	198251	G	68	30	98	0.00001
SRR6145060	Candidatus Methylospira	1808977	G	10	55	65	0.00001
SRR6145060	Candidatus Solibacter	332162	G	58	1	59	0.00001
SRR6145060	Candidatus Atelocyanobacterium	1453359	G	40	15	55	0.00001
SRR6145060	Candidatus Saccharimonas	1331051	G	18	28	46	0.00001
SRR6145060	Candidatus Accumulibacter	327159	G	44	0	44	0.00001
SRR6145060	Candidatus Methylopumilus	1679002	G	39	1	40	0.00001
SRR6145060	Candidatus Blochmannia	203804	G	34	0	34	0.00000
SRR6145060	Candidatus Promineofilum	1988031	G	30	0	30	0.00000
SRR6145060	Candidatus Hamiltonella	568987	G	17	13	30	0.00000
SRR6145060	Candidatus Kinetoplastibacterium	33055	G	38	-9	29	0.00000
SRR6145060	Candidatus Planktophila	622681	G	26	2	28	0.00000
SRR6145060	Candidatus Bipolaricaulis	2250122	G	2	25	27	0.00000
SRR6145060	Candidatus Izimaplasma	1912503	G	15	11	26	0.00000
SRR6145060	Candidatus Desulforudis	471826	G	3	21	24	0.00000
SRR6145060	Candidatus Ruthia	1541743	G	10	12	22	0.00000
SRR6145060	Candidatus Arthromitus	49082	G	22	0	22	0.00000
SRR6145060	Candidatus Phytoplasma	33926	G	20	0	20	0.00000
SRR6145060	Candidatus Symbiobacter	1436289	G	14	0	14	0.00000
SRR6145060	Candidatus Protochlamydia	282132	G	14	0	14	0.00000
SRR6145060	Candidatus Phaeomarinobacter	1541445	G	14	0	14	0.00000
SRR6145060	Candidatus Nanopelagicus	2039639	G	14	0	14	0.00000
SRR6145060	Candidatus Thioglobus	655184	G	13	0	13	0.00000
SRR6145060	Candidatus Nitrosotalea	1078904	G	13	0	13	0.00000
SRR6145060	Candidatus Sulcia	336809	G	10	2	12	0.00000
SRR6145060	Candidatus Nitrosocosmicus	1826864	G	12	0	12	0.00000
SRR6145060	Candidatus Endolissoclinum	1263978	G	12	0	12	0.00000
SRR6145060	Candidatus Prometheoarchaeum	2732160	G	9	2	11	0.00000
SRR6145060	Candidatus Kuenenia	380738	G	11	0	11	0.00000
SRR6145060	Candidatus Fonsibacter	2045213	G	4	7	11	0.00000
SRR6145060	Candidatus Cardinium	273135	G	11	0	11	0.00000
SRR6145060	Candidatus Aquiluna	529881	G	11	0	11	0.00000
SRR6145060	Candidatus Nitrotoga	453161	G	10	0	10	0.00000
SRR6145060	Candidatus Fukatsuia	1927833	G	10	0	10	0.00000
SRR6145060	Candidatus Doolittlea	1906657	G	10	0	10	0.00000
SRR6145060	Candidatus Portiera	235572	G	8	0	8	0.00000
SRR6145060	Candidatus Koribacter	658061	G	8	0	8	0.00000
SRR6145060	Candidatus Hepatoplasma	295595	G	8	0	8	0.00000
SRR6145060	Candidatus Nucleicultrix	1509243	G	7	0	7	0.00000
SRR6145060	Candidatus Desulfofervidus	1902583	G	7	0	7	0.00000
SRR6145060	Candidatus Cyclonatronum	2489367	G	7	0	7	0.00000
SRR6145060	Candidatus Syntrophocurvum	2293313	G	6	0	6	0.00000
SRR6145060	Candidatus Nitrosotenuis	1825023	G	6	0	6	0.00000
SRR6145060	Candidatus Nitrosoglobus	1980513	G	6	0	6	0.00000
SRR6145060	Candidatus Azobacteroides	511434	G	6	0	6	0.00000
SRR6145060	Candidatus Amoebophilus	281119	G	6	0	6	0.00000
SRR6145060	Candidatus Tachikawaea	1682492	G	5	0	5	0.00000
SRR6145060	Candidatus Riesia	401618	G	5	0	5	0.00000
SRR6145060	Candidatus Reidiella	2738850	G	5	0	5	0.00000
SRR6145060	Candidatus Puniceispirillum	767891	G	5	0	5	0.00000
SRR6145060	Candidatus Profftella	1381133	G	5	0	5	0.00000
SRR6145060	Candidatus Nitrosomarinus	1993653	G	5	0	5	0.00000
SRR6145060	Candidatus Methanoplasma	1607807	G	2	3	5	0.00000
SRR6145060	Candidatus Methanomethylophilus	1291539	G	5	0	5	0.00000
