sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145060	Candidatus Saccharibacteria	95818	P	346	0	346	0.00005
SRR6145060	Candidatus Gracilibacteria	363464	P	28	6	34	0.00000
SRR6145060	Candidatus Bipolaricaulota	67810	P	2	29	31	0.00000
SRR6145060	Candidatus Lokiarchaeota	1655434	P	9	2	11	0.00000
SRR6145060	Candidatus Cloacimonetes	456828	P	4	0	4	0.00000
SRR6145060	Candidatus Geothermarchaeota	1935021	P	2	0	2	0.00000
SRR6145060	Candidatus Korarchaeota	51967	P	1	0	1	0.00000
SRR6145060	Chordata	7711	P	6039591	2789	6042380	0.79620
SRR6145060	Actinobacteria	201174	P	715953	598	716551	0.09442
SRR6145060	Proteobacteria	1224	P	476974	4294	481268	0.06342
SRR6145060	Firmicutes	1239	P	232926	20962	253888	0.03345
SRR6145060	Bacteroidetes	976	P	64234	26	64260	0.00847
SRR6145060	Fusobacteria	32066	P	8337	25	8362	0.00110
SRR6145060	Deinococcus-Thermus	1297	P	6015	4	6019	0.00079
SRR6145060	Uroviricota	2731618	P	3571	1160	4731	0.00062
SRR6145060	Cyanobacteria	1117	P	3411	1	3412	0.00045
SRR6145060	Planctomycetes	203682	P	1948	1	1949	0.00026
SRR6145060	Euryarchaeota	28890	P	1900	-8	1892	0.00025
SRR6145060	Tenericutes	544448	P	766	-2	764	0.00010
SRR6145060	Spirochaetes	203691	P	750	-17	733	0.00010
SRR6145060	Verrucomicrobia	74201	P	371	0	371	0.00005
SRR6145060	Acidobacteria	57723	P	298	0	298	0.00004
SRR6145060	Gemmatimonadetes	142182	P	196	0	196	0.00003
SRR6145060	Chloroflexi	200795	P	207	-9	198	0.00003
SRR6145060	Crenarchaeota	28889	P	151	-2	149	0.00002
SRR6145060	Thermotogae	200918	P	87	-16	71	0.00001
SRR6145060	Thaumarchaeota	651137	P	76	-1	75	0.00001
SRR6145060	Synergistetes	508458	P	61	0	61	0.00001
SRR6145060	Phixviricota	2732412	P	16	84	100	0.00001
SRR6145060	Peploviricota	2731361	P	41	0	41	0.00001
SRR6145060	Nucleocytoviricota	2732007	P	91	-3	88	0.00001
SRR6145060	Nitrospirae	40117	P	63	0	63	0.00001
SRR6145060	Deferribacteres	200930	P	39	0	39	0.00001
SRR6145060	Cossaviricota	2732415	P	64	0	64	0.00001
SRR6145060	Chlorobi	1090	P	82	0	82	0.00001
SRR6145060	Chlamydiae	204428	P	81	0	81	0.00001
SRR6145060	Artverviricota	2732409	P	14	49	63	0.00001
SRR6145060	Armatimonadetes	67819	P	47	5	52	0.00001
SRR6145060	Aquificae	200783	P	53	0	53	0.00001
SRR6145060	candidate division Zixibacteria	1379697	P	1	0	1	0.00000
SRR6145060	Thermodesulfobacteria	200940	P	32	0	32	0.00000
SRR6145060	Preplasmiviricota	2732008	P	8	0	8	0.00000
SRR6145060	Pisuviricota	2732408	P	8	0	8	0.00000
SRR6145060	Negarnaviricota	2497569	P	29	0	29	0.00000
SRR6145060	Lentisphaerae	256845	P	15	0	15	0.00000
SRR6145060	Lenarviricota	2732407	P	1	0	1	0.00000
SRR6145060	Kitrinoviricota	2732406	P	26	-11	15	0.00000
SRR6145060	Kiritimatiellaeota	134625	P	15	2	17	0.00000
SRR6145060	Ignavibacteriae	1134404	P	21	0	21	0.00000
SRR6145060	Fibrobacteres	65842	P	18	0	18	0.00000
SRR6145060	Elusimicrobia	74152	P	15	0	15	0.00000
SRR6145060	Duplornaviricota	2732405	P	2	0	2	0.00000
SRR6145060	Dividoviricota	2732009	P	1	0	1	0.00000
SRR6145060	Dictyoglomi	68297	P	13	0	13	0.00000
SRR6145060	Cressdnaviricota	2732416	P	5	0	5	0.00000
SRR6145060	Chrysiogenetes	200938	P	11	0	11	0.00000
SRR6145060	Calditrichaeota	1930617	P	16	0	16	0.00000
SRR6145060	Caldiserica	67814	P	2	0	2	0.00000
SRR6145060	Balneolaeota	1936987	P	7	0	7	0.00000
