sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145060	Homo sapiens	9606	S	6039591	2789	6042380	0.79620
SRR6145060	Candidatus Saccharibacteria bacterium oral taxon 957	2572088	S	57	25	82	0.00001
SRR6145060	Candidatus Saccharibacteria bacterium oral taxon 955	2572087	S	12	15	27	0.00000
SRR6145060	Garrulus glandarius associated circular virus 1	2006642	S	1	0	1	0.00000
SRR6145060	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	1618022	S	13	2	15	0.00000
SRR6145060	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	1505597	S	2	0	2	0.00000
SRR6145060	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	S	7	0	7	0.00000
SRR6145060	Deinococcus soli Cha et al. 2016	1309411	S	155	55	210	0.00003
SRR6145060	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	1261031	S	18	4	22	0.00000
SRR6145060	Candidatus Saccharibacteria bacterium oral taxon 488	713059	S	156	54	210	0.00003
SRR6145060	Cutibacterium acnes	1747	S	357831	9085	366916	0.04835
SRR6145060	Sphingomonas ginsengisoli An et al. 2013	363835	S	193	3	196	0.00003
SRR6145060	Tomato yellow leaf curl Malaga virus	219744	S	1	1	2	0.00000
SRR6145060	Moraxella osloensis	34062	S	104885	2617	107502	0.01417
SRR6145060	Micrococcus luteus	1270	S	40014	24283	64297	0.00847
SRR6145060	Staphylococcus epidermidis	1282	S	44356	7340	51696	0.00681
SRR6145060	Staphylococcus hominis	1290	S	20771	1526	22297	0.00294
SRR6145060	Dermacoccus nishinomiyaensis	1274	S	17899	801	18700	0.00246
SRR6145060	Streptococcus mitis	28037	S	13132	2741	15873	0.00209
SRR6145060	Acinetobacter baumannii	470	S	3859	11406	15265	0.00201
SRR6145060	Halomonas hydrothermalis	115561	S	13155	1206	14361	0.00189
SRR6145060	Staphylococcus warneri	1292	S	6284	7797	14081	0.00186
SRR6145060	Staphylococcus capitis	29388	S	12927	934	13861	0.00183
SRR6145060	Paraburkholderia fungorum	134537	S	10962	857	11819	0.00156
SRR6145060	Staphylococcus aureus	1280	S	6303	5273	11576	0.00153
SRR6145060	Corynebacterium segmentosum	43990	S	10713	277	10990	0.00145
SRR6145060	Acinetobacter schindleri	108981	S	8292	1148	9440	0.00124
SRR6145060	Janibacter indicus	857417	S	7462	706	8168	0.00108
SRR6145060	Cutibacterium granulosum	33011	S	7155	296	7451	0.00098
SRR6145060	Staphylococcus saprophyticus	29385	S	6524	773	7297	0.00096
SRR6145060	Chryseobacterium taklimakanense	536441	S	6579	469	7048	0.00093
SRR6145060	Streptococcus pneumoniae	1313	S	3803	3232	7035	0.00093
SRR6145060	Acinetobacter junii	40215	S	6367	582	6949	0.00092
SRR6145060	Micrococcus sp. KBS0714	1179670	S	1730	6911	8641	0.00114
SRR6145060	Neisseria mucosa	488	S	5693	1025	6718	0.00089
SRR6145060	Streptococcus oralis	1303	S	4854	1819	6673	0.00088
SRR6145060	Finegoldia magna	1260	S	5907	612	6519	0.00086
SRR6145060	Paracoccus yeei	147645	S	3545	2788	6333	0.00083
SRR6145060	Pseudomonas stutzeri	316	S	5163	671	5834	0.00077
SRR6145060	Gemella haemolysans	1379	S	5637	189	5826	0.00077
SRR6145060	Haemophilus parainfluenzae	729	S	5390	332	5722	0.00075
SRR6145060	Corynebacterium ureicelerivorans	401472	S	5141	270	5411	0.00071
SRR6145060	Stenotrophomonas maltophilia	40324	S	3062	2141	5203	0.00069
SRR6145060	Acinetobacter lwoffii	28090	S	3140	2002	5142	0.00068
SRR6145060	Staphylococcus pasteuri	45972	S	1945	3030	4975	0.00066
SRR6145060	Staphylococcus sciuri	1296	S	4803	131	4934	0.00065
SRR6145060	Gordonia terrae	2055	S	3574	1278	4852	0.00064
SRR6145060	Staphylococcus haemolyticus	1283	S	4158	620	4778	0.00063
SRR6145060	Tsukamurella tyrosinosolvens	57704	S	4158	483	4641	0.00061
SRR6145060	Paracoccus sanguinis	1545044	S	4198	403	4601	0.00061
SRR6145060	Streptococcus sanguinis	1305	S	4315	201	4516	0.00060
SRR6145060	Pseudomonas aeruginosa	287	S	630	3690	4320	0.00057
SRR6145060	Actinomyces oris	544580	S	2294	1889	4183	0.00055
SRR6145060	Gordonia bronchialis	2054	S	3074	1029	4103	0.00054
SRR6145060	Porphyromonas asaccharolytica	28123	S	3872	29	3901	0.00051
SRR6145060	Actinomyces naeslundii	1655	S	2016	1738	3754	0.00049
SRR6145060	Acinetobacter indicus	756892	S	3392	360	3752	0.00049
SRR6145060	Streptococcus gordonii	1302	S	3422	197	3619	0.00048
SRR6145060	Methylobacterium radiotolerans	31998	S	1137	2425	3562	0.00047
SRR6145060	Kytococcus sedentarius	1276	S	3315	238	3553	0.00047
SRR6145060	Cutibacterium avidum	33010	S	3265	117	3382	0.00045
SRR6145060	Corynebacterium mycetoides	38302	S	3043	319	3362	0.00044
SRR6145060	Roseomonas mucosa	207340	S	1144	2216	3360	0.00044
SRR6145060	Acinetobacter johnsonii	40214	S	2225	1125	3350	0.00044
SRR6145060	Kocuria palustris	71999	S	3087	200	3287	0.00043
SRR6145060	Veillonella parvula	29466	S	3134	103	3237	0.00043
SRR6145060	Corallococcus coralloides	184914	S	3137	77	3214	0.00042
SRR6145060	Pseudomonas putida	303	S	2153	945	3098	0.00041
SRR6145060	Corynebacterium matruchotii	43768	S	3055	19	3074	0.00041
SRR6145060	Fusobacterium nucleatum	851	S	2681	388	3069	0.00040
SRR6145060	Rothia mucilaginosa	43675	S	2857	53	2910	0.00038
SRR6145060	Gordonia sp. JH63	2698900	S	2566	2898	5464	0.00072
SRR6145060	Chryseobacterium sp. H6466	2487072	S	2909	2752	5661	0.00075
SRR6145060	Staphylococcus cohnii	29382	S	2509	175	2684	0.00035
SRR6145060	Microbacterium aurum	36805	S	2447	200	2647	0.00035
SRR6145060	Acinetobacter ursingii	108980	S	2399	179	2578	0.00034
SRR6145060	Massilia oculi	945844	S	2302	243	2545	0.00034
SRR6145060	Acinetobacter pittii	48296	S	1702	836	2538	0.00033
SRR6145060	Rothia dentocariosa	2047	S	2443	92	2535	0.00033
SRR6145060	Methylobacterium mesophilicum	39956	S	2379	132	2511	0.00033
SRR6145060	Chryseobacterium haifense	421525	S	2232	255	2487	0.00033
SRR6145060	Deinococcus wulumuqiensis	980427	S	2181	257	2438	0.00032
SRR6145060	Klebsiella pneumoniae	573	S	403	2016	2419	0.00032
SRR6145060	Serratia marcescens	615	S	1477	921	2398	0.00032
SRR6145060	Streptococcus salivarius	1304	S	1402	979	2381	0.00031
SRR6145060	Chryseobacterium sp. F5649	2487071	S	2602	2381	4983	0.00066
SRR6145060	Corynebacterium sanguinis	2594913	S	2106	259	2365	0.00031
SRR6145060	Sphingobium yanoikuyae	13690	S	1124	1162	2286	0.00030
SRR6145060	Prevotella intermedia	28131	S	1825	451	2276	0.00030
SRR6145060	Sphingomonas melonis	152682	S	979	1176	2155	0.00028
SRR6145060	Escherichia coli	562	S	331	1809	2140	0.00028
SRR6145060	Pseudomonas oryzihabitans	47885	S	2090	49	2139	0.00028
SRR6145060	Chryseobacterium arthrosphaerae	651561	S	1946	160	2106	0.00028
SRR6145060	Streptococcus gwangjuense	1433513	S	1500	486	1986	0.00026
SRR6145060	Prevotella melaninogenica	28132	S	1527	446	1973	0.00026
SRR6145060	Neisseria subflava	28449	S	1608	295	1903	0.00025
SRR6145060	Kocuria indica	1049583	S	1031	828	1859	0.00024
SRR6145060	Methylobacterium sp. C1	1479019	S	705	1853	2558	0.00034
SRR6145060	Campylobacter ureolyticus	827	S	1784	33	1817	0.00024
SRR6145060	Methylorubrum populi	223967	S	1421	389	1810	0.00024
SRR6145060	Rothia aeria	172042	S	1711	62	1773	0.00023
SRR6145060	Corynebacterium glutamicum	1718	S	50	1676	1726	0.00023
SRR6145060	Brevundimonas diminuta	293	S	761	945	1706	0.00022
SRR6145060	Actinomyces viscosus	1656	S	1636	67	1703	0.00022
SRR6145060	Streptococcus cristatus	45634	S	1547	114	1661	0.00022
SRR6145060	Acinetobacter tandoii	202954	S	1619	35	1654	0.00022
SRR6145060	Dietzia timorensis	499555	S	1269	375	1644	0.00022
SRR6145060	Corynebacterium striatum	43770	S	1317	228	1545	0.00020
SRR6145060	Comamonas aquatica	225991	S	1410	132	1542	0.00020
SRR6145060	Rhizobium pusense	648995	S	408	1126	1534	0.00020
SRR6145060	Paracoccus contaminans	1945662	S	1401	127	1528	0.00020
SRR6145060	Methylobacterium brachiatum	269660	S	1314	203	1517	0.00020
SRR6145060	Lawsonella clevelandensis	1528099	S	1472	35	1507	0.00020
SRR6145060	Lautropia mirabilis	47671	S	1360	79	1439	0.00019
SRR6145060	Chryseobacterium indologenes	253	S	1333	105	1438	0.00019
SRR6145060	Methylobacterium sp. XJLW	739141	S	198	1422	1620	0.00021
SRR6145060	Janibacter limosus	53458	S	1335	85	1420	0.00019
SRR6145060	Chryseobacterium gleum	250	S	1214	192	1406	0.00019
SRR6145060	Brevundimonas naejangsanensis	588932	S	1242	146	1388	0.00018
SRR6145060	Sphingobacterium sp. G1-14	2003121	S	1378	1385	2763	0.00036
SRR6145060	Streptococcus pseudopneumoniae	257758	S	951	417	1368	0.00018
SRR6145060	Neisseria elongata	495	S	1246	115	1361	0.00018
SRR6145060	Haemophilus parahaemolyticus	735	S	1266	42	1308	0.00017
SRR6145060	Acinetobacter sp. ACNIH1	1636603	S	7468	1307	8775	0.00116
SRR6145060	Enterobacter hormaechei	158836	S	184	1118	1302	0.00017
SRR6145060	Friedmanniella sagamiharensis	546874	S	1225	58	1283	0.00017
SRR6145060	Staphylococcus caprae	29380	S	1191	86	1277	0.00017
SRR6145060	Corynebacterium simulans	146827	S	1087	178	1265	0.00017
SRR6145060	Halomonas meridiana	29570	S	1166	94	1260	0.00017
SRR6145060	Leuconostoc pseudomesenteroides	33968	S	1149	107	1256	0.00017
SRR6145060	Janibacter melonis	262209	S	1161	76	1237	0.00016
SRR6145060	Corynebacterium jeikeium	38289	S	806	418	1224	0.00016
SRR6145060	Corynebacterium kroppenstedtii	161879	S	1190	20	1210	0.00016
SRR6145060	Enterobacter cloacae	550	S	498	708	1206	0.00016
SRR6145060	Brevundimonas vesicularis	41276	S	602	598	1200	0.00016
SRR6145060	Dietzia lutea	546160	S	1056	133	1189	0.00016
SRR6145060	Corynebacterium diphtheriae	1717	S	342	843	1185	0.00016
SRR6145060	Rhodococcus sp. PBTS 1	1653478	S	1166	101	1267	0.00017
SRR6145060	Acinetobacter haemolyticus	29430	S	988	163	1151	0.00015
SRR6145060	Peptoniphilus harei	54005	S	1096	53	1149	0.00015
SRR6145060	Pasteurella multocida	747	S	858	273	1131	0.00015
SRR6145060	Schaalia odontolytica	1660	S	1084	45	1129	0.00015
SRR6145060	Streptococcus australis	113107	S	901	217	1118	0.00015
SRR6145060	Corynebacterium singulare	161899	S	984	101	1085	0.00014
SRR6145060	Acinetobacter nosocomialis	106654	S	890	192	1082	0.00014
SRR6145060	Neisseria meningitidis	487	S	447	629	1076	0.00014
SRR6145060	Gardnerella vaginalis	2702	S	1026	21	1047	0.00014
SRR6145060	Sulfitobacter donghicola	421000	S	8	1035	1043	0.00014
SRR6145060	Roseomonas sp. FDAARGOS_362	2018065	S	689	1035	1724	0.00023
SRR6145060	Lactobacillus iners	147802	S	986	37	1023	0.00013
SRR6145060	Bacillus cereus	1396	S	583	437	1020	0.00013
SRR6145060	Anaerococcus prevotii	33034	S	934	74	1008	0.00013
SRR6145060	Microbacterium paraoxydans	199592	S	245	760	1005	0.00013
SRR6145060	Haemophilus influenzae	727	S	576	420	996	0.00013
SRR6145060	Abiotrophia defectiva	46125	S	973	8	981	0.00013
SRR6145060	Gemella morbillorum	29391	S	877	103	980	0.00013
SRR6145060	Mycolicibacterium psychrotolerans	216929	S	897	79	976	0.00013
SRR6145060	Sphingobacterium sp. B29	1933220	S	1053	974	2027	0.00027
SRR6145060	Methylorubrum extorquens	408	S	469	501	970	0.00013
SRR6145060	Leptotrichia wadei	157687	S	832	128	960	0.00013
SRR6145060	Staphylococcus lugdunensis	28035	S	929	29	958	0.00013
SRR6145060	Brevundimonas vancanneytii	1325724	S	284	658	942	0.00012
SRR6145060	Aeromonas caviae	648	S	231	692	923	0.00012
SRR6145060	Haemophilus haemolyticus	726	S	794	121	915	0.00012
