sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145058	Cutibacterium acnes	1747	S	893	2	895	0.93521
SRR6145058	Homo sapiens	9606	S	43	0	43	0.04493
SRR6145058	Staphylococcus epidermidis	1282	S	2	1	3	0.00313
SRR6145058	Micrococcus luteus	1270	S	3	0	3	0.00313
SRR6145058	Betapapillomavirus 2	333924	S	2	0	2	0.00209
SRR6145058	Staphylococcus cohnii	29382	S	1	0	1	0.00104
SRR6145058	Rothia mucilaginosa	43675	S	1	0	1	0.00104
SRR6145058	Moraxella osloensis	34062	S	1	0	1	0.00104
SRR6145058	Gammapapillomavirus 8	1175850	S	1	0	1	0.00104
SRR6145058	Cutibacterium avidum	33010	S	1	0	1	0.00104
SRR6145058	Clostridium botulinum	1491	S	1	0	1	0.00104
SRR6145058	Bosea sp. PAMC 26642	1792307	S	1	0	1	0.00104
SRR6145058	Pseudomonas sp. 7SR1	1881017	S	1	0	1	0.00104
SRR6145058	Micrococcus sp. KBS0714	1179670	S	1	0	1	0.00104
