sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145058	Candidatus Saccharibacteria	95818	P	345	0	345	0.00004
SRR6145058	Candidatus Gracilibacteria	363464	P	12	0	12	0.00000
SRR6145058	Candidatus Bipolaricaulota	67810	P	2	6	8	0.00000
SRR6145058	Candidatus Lokiarchaeota	1655434	P	4	0	4	0.00000
SRR6145058	Candidatus Cloacimonetes	456828	P	2	0	2	0.00000
SRR6145058	Candidatus Micrarchaeota	1801631	P	1	0	1	0.00000
SRR6145058	Candidatus Geothermarchaeota	1935021	P	1	0	1	0.00000
SRR6145058	Chordata	7711	P	7868181	4955	7873136	0.86056
SRR6145058	Actinobacteria	201174	P	759857	946	760803	0.08316
SRR6145058	Proteobacteria	1224	P	249008	4133	253141	0.02767
SRR6145058	Firmicutes	1239	P	176566	21792	198358	0.02168
SRR6145058	Bacteroidetes	976	P	31868	21	31889	0.00349
SRR6145058	Uroviricota	2731618	P	3961	7348	11309	0.00124
SRR6145058	Deinococcus-Thermus	1297	P	7469	8	7477	0.00082
SRR6145058	Fusobacteria	32066	P	6374	24	6398	0.00070
SRR6145058	Planctomycetes	203682	P	1421	1	1422	0.00016
SRR6145058	Cyanobacteria	1117	P	1454	-35	1419	0.00016
SRR6145058	Euryarchaeota	28890	P	895	-2	893	0.00010
SRR6145058	Spirochaetes	203691	P	685	-9	676	0.00007
SRR6145058	Verrucomicrobia	74201	P	220	0	220	0.00002
SRR6145058	Tenericutes	544448	P	201	1	202	0.00002
SRR6145058	Cossaviricota	2732415	P	208	-14	194	0.00002
SRR6145058	Acidobacteria	57723	P	145	0	145	0.00002
SRR6145058	Phixviricota	2732412	P	27	28	55	0.00001
SRR6145058	Gemmatimonadetes	142182	P	134	0	134	0.00001
SRR6145058	Crenarchaeota	28889	P	57	-2	55	0.00001
SRR6145058	Chloroflexi	200795	P	134	-11	123	0.00001
SRR6145058	Thermotogae	200918	P	37	-4	33	0.00000
SRR6145058	Thermodesulfobacteria	200940	P	9	0	9	0.00000
SRR6145058	Thaumarchaeota	651137	P	38	0	38	0.00000
SRR6145058	Synergistetes	508458	P	28	0	28	0.00000
SRR6145058	Preplasmiviricota	2732008	P	1	0	1	0.00000
SRR6145058	Pisuviricota	2732408	P	3	0	3	0.00000
SRR6145058	Peploviricota	2731361	P	11	0	11	0.00000
SRR6145058	Nucleocytoviricota	2732007	P	23	0	23	0.00000
SRR6145058	Nitrospirae	40117	P	43	0	43	0.00000
SRR6145058	Negarnaviricota	2497569	P	1	0	1	0.00000
SRR6145058	Lentisphaerae	256845	P	9	0	9	0.00000
SRR6145058	Kitrinoviricota	2732406	P	1	17	18	0.00000
SRR6145058	Kiritimatiellaeota	134625	P	13	2	15	0.00000
SRR6145058	Ignavibacteriae	1134404	P	2	0	2	0.00000
SRR6145058	Fibrobacteres	65842	P	4	0	4	0.00000
SRR6145058	Elusimicrobia	74152	P	3	0	3	0.00000
SRR6145058	Duplornaviricota	2732405	P	1	0	1	0.00000
SRR6145058	Dividoviricota	2732009	P	1	0	1	0.00000
SRR6145058	Dictyoglomi	68297	P	5	0	5	0.00000
SRR6145058	Deferribacteres	200930	P	16	0	16	0.00000
SRR6145058	Chrysiogenetes	200938	P	3	0	3	0.00000
SRR6145058	Chlorobi	1090	P	35	0	35	0.00000
SRR6145058	Chlamydiae	204428	P	21	-1	20	0.00000
SRR6145058	Calditrichaeota	1930617	P	5	0	5	0.00000
SRR6145058	Balneolaeota	1936987	P	4	0	4	0.00000
SRR6145058	Artverviricota	2732409	P	7	0	7	0.00000
SRR6145058	Armatimonadetes	67819	P	32	2	34	0.00000
SRR6145058	Aquificae	200783	P	25	0	25	0.00000
