sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145059	Propionibacteriaceae	31957	F	826	1	827	0.56722
SRR6145059	Burkholderiaceae	119060	F	353	0	353	0.24211
SRR6145059	Micrococcaceae	1268	F	216	0	216	0.14815
SRR6145059	Hominidae	9604	F	32	0	32	0.02195
SRR6145059	Moraxellaceae	468	F	13	-1	12	0.00823
SRR6145059	Enterobacteriaceae	543	F	4	1	5	0.00343
SRR6145059	Staphylococcaceae	90964	F	4	0	4	0.00274
SRR6145059	Papillomaviridae	151340	F	4	-1	3	0.00206
SRR6145059	Corynebacteriaceae	1653	F	3	0	3	0.00206
SRR6145059	Pseudomonadaceae	135621	F	1	0	1	0.00069
SRR6145059	Dermacoccaceae	145357	F	1	0	1	0.00069
SRR6145059	Deinococcaceae	183710	F	1	0	1	0.00069
