sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145059	Candidatus Nanopelagicaceae	2162846	F	53	3	56	0.00001
SRR6145059	Candidatus Babeliaceae	2497645	F	6	7	13	0.00000
SRR6145059	Candidatus Brocadiaceae	1127830	F	5	0	5	0.00000
SRR6145059	Candidatus Paracaedibacteraceae	1777752	F	4	0	4	0.00000
SRR6145059	Candidatus Midichloriaceae	1328881	F	3	0	3	0.00000
SRR6145059	Candidatus Methanomethylophilaceae	2517203	F	1	0	1	0.00000
SRR6145059	Candidatus Desulfofervidaceae	1902584	F	1	0	1	0.00000
SRR6145059	Candidatus Deianiraeaceae	2603433	F	1	0	1	0.00000
SRR6145059	Hominidae	9604	F	5310201	3274	5313475	0.63250
SRR6145059	Burkholderiaceae	119060	F	1155420	9361	1164781	0.13865
SRR6145059	Propionibacteriaceae	31957	F	600976	7210	608186	0.07240
SRR6145059	Micrococcaceae	1268	F	135229	7766	142995	0.01702
SRR6145059	Moraxellaceae	468	F	122945	4492	127437	0.01517
SRR6145059	Staphylococcaceae	90964	F	89255	18389	107644	0.01281
SRR6145059	Enterobacteriaceae	543	F	78587	12626	91213	0.01086
SRR6145059	Corynebacteriaceae	1653	F	77672	1921	79593	0.00947
SRR6145059	Gordoniaceae	85026	F	44283	1630	45913	0.00547
SRR6145059	Rhodobacteraceae	31989	F	41328	2379	43707	0.00520
SRR6145059	Intrasporangiaceae	85021	F	30940	1071	32011	0.00381
SRR6145059	Streptococcaceae	1300	F	30105	1559	31664	0.00377
SRR6145059	Flavobacteriaceae	49546	F	30960	420	31380	0.00374
SRR6145059	Sphingomonadaceae	41297	F	29595	1769	31364	0.00373
SRR6145059	Dermacoccaceae	145357	F	27053	1349	28402	0.00338
SRR6145059	Pseudomonadaceae	135621	F	26719	1025	27744	0.00330
SRR6145059	Mycobacteriaceae	1762	F	27082	318	27400	0.00326
SRR6145059	Microbacteriaceae	85023	F	25722	953	26675	0.00318
SRR6145059	Caulobacteraceae	76892	F	24322	1064	25386	0.00302
SRR6145059	Tsukamurellaceae	85028	F	22647	849	23496	0.00280
SRR6145059	Xanthomonadaceae	32033	F	22406	495	22901	0.00273
SRR6145059	Halomonadaceae	28256	F	20515	202	20717	0.00247
SRR6145059	Streptomycetaceae	2062	F	19166	310	19476	0.00232
SRR6145059	Dietziaceae	85029	F	16089	1496	17585	0.00209
SRR6145059	Actinomycetaceae	2049	F	15699	394	16093	0.00192
SRR6145059	Comamonadaceae	80864	F	14815	700	15515	0.00185
SRR6145059	Bradyrhizobiaceae	41294	F	13809	586	14395	0.00171
SRR6145059	Nocardiaceae	85025	F	11966	2127	14093	0.00168
SRR6145059	Nocardioidaceae	85015	F	12172	247	12419	0.00148
SRR6145059	Oxalobacteraceae	75682	F	8109	4126	12235	0.00146
SRR6145059	Rhizobiaceae	82115	F	9961	1528	11489	0.00137
SRR6145059	Deinococcaceae	183710	F	10960	25	10985	0.00131
SRR6145059	Methylobacteriaceae	119045	F	10142	565	10707	0.00127
SRR6145059	Neisseriaceae	481	F	9093	306	9399	0.00112
SRR6145059	Acetobacteraceae	433	F	7243	1018	8261	0.00098
SRR6145059	Yersiniaceae	1903411	F	7593	579	8172	0.00097
SRR6145059	Brevibacteriaceae	85019	F	6718	265	6983	0.00083
SRR6145059	Pseudonocardiaceae	2070	F	7064	-135	6929	0.00082
SRR6145059	Dermabacteraceae	85020	F	6625	166	6791	0.00081
SRR6145059	Bacillaceae	186817	F	3265	3298	6563	0.00078
SRR6145059	Sphingobacteriaceae	84566	F	6403	65	6468	0.00077
SRR6145059	Pasteurellaceae	712	F	5445	162	5607	0.00067
SRR6145059	Prevotellaceae	171552	F	5092	138	5230	0.00062
SRR6145059	Peptoniphilaceae	1570339	F	4851	376	5227	0.00062
SRR6145059	Erythrobacteraceae	335929	F	4448	495	4943	0.00059
SRR6145059	Micromonosporaceae	28056	F	4846	66	4912	0.00058
SRR6145059	Siphoviridae	10699	F	4160	580	4740	0.00056
SRR6145059	Rhodospirillaceae	41295	F	3757	866	4623	0.00055
SRR6145059	Alcaligenaceae	506	F	3576	790	4366	0.00052
