sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145059	Candidatus Promineofilum	1988031	G	57	23	80	0.00001
SRR6145059	Candidatus Accumulibacter	327159	G	62	0	62	0.00001
SRR6145059	Candidatus Solibacter	332162	G	52	0	52	0.00001
SRR6145059	Candidatus Pelagibacter	198251	G	31	16	47	0.00001
SRR6145059	Candidatus Saccharimonas	1331051	G	28	17	45	0.00001
SRR6145059	Candidatus Planktophila	622681	G	43	2	45	0.00001
SRR6145059	Candidatus Phaeomarinobacter	1541445	G	22	17	39	0.00000
SRR6145059	Candidatus Desulforudis	471826	G	13	12	25	0.00000
SRR6145059	Candidatus Methylospira	1808977	G	19	0	19	0.00000
SRR6145059	Candidatus Koribacter	658061	G	19	0	19	0.00000
SRR6145059	Candidatus Aquiluna	529881	G	19	0	19	0.00000
SRR6145059	Candidatus Phytoplasma	33926	G	9	8	17	0.00000
SRR6145059	Candidatus Symbiobacter	1436289	G	16	0	16	0.00000
SRR6145059	Candidatus Bipolaricaulis	2250122	G	14	0	14	0.00000
SRR6145059	Candidatus Kinetoplastibacterium	33055	G	21	-8	13	0.00000
SRR6145059	Candidatus Blochmannia	203804	G	13	0	13	0.00000
SRR6145059	Candidatus Reidiella	2738850	G	10	0	10	0.00000
SRR6145059	Candidatus Nanopelagicus	2039639	G	10	0	10	0.00000
SRR6145059	Candidatus Methylopumilus	1679002	G	10	0	10	0.00000
SRR6145059	Candidatus Azobacteroides	511434	G	10	0	10	0.00000
SRR6145059	Candidatus Arthromitus	49082	G	10	0	10	0.00000
SRR6145059	Candidatus Protochlamydia	282132	G	9	0	9	0.00000
SRR6145059	Candidatus Hamiltonella	568987	G	5	4	9	0.00000
SRR6145059	Candidatus Cyclonatronum	2489367	G	9	0	9	0.00000
SRR6145059	Candidatus Sulcia	336809	G	8	0	8	0.00000
SRR6145059	Candidatus Cytomitobacter	2601574	G	8	0	8	0.00000
SRR6145059	Candidatus Thioglobus	655184	G	7	0	7	0.00000
SRR6145059	Candidatus Nitrotoga	453161	G	7	0	7	0.00000
SRR6145059	Candidatus Endolissoclinum	1263978	G	7	0	7	0.00000
SRR6145059	Candidatus Sneabacter	2601645	G	6	0	6	0.00000
SRR6145059	Candidatus Ruthia	1541743	G	4	2	6	0.00000
SRR6145059	Candidatus Nitrosoglobus	1980513	G	6	0	6	0.00000
SRR6145059	Candidatus Fonsibacter	2045213	G	6	0	6	0.00000
SRR6145059	Candidatus Babela	1551504	G	6	0	6	0.00000
SRR6145059	Candidatus Prometheoarchaeum	2732160	G	5	0	5	0.00000
SRR6145059	Candidatus Nucleicultrix	1509243	G	5	0	5	0.00000
SRR6145059	Candidatus Nitrosocosmicus	1826864	G	5	0	5	0.00000
SRR6145059	Candidatus Nesciobacter	2601651	G	3	2	5	0.00000
SRR6145059	Candidatus Mancarchaeum	2490204	G	4	1	5	0.00000
SRR6145059	Candidatus Kuenenia	380738	G	5	0	5	0.00000
SRR6145059	Candidatus Puniceispirillum	767891	G	4	0	4	0.00000
SRR6145059	Candidatus Portiera	235572	G	4	0	4	0.00000
SRR6145059	Candidatus Paracaedibacter	1521255	G	4	0	4	0.00000
SRR6145059	Candidatus Izimaplasma	1912503	G	4	0	4	0.00000
SRR6145059	Candidatus Cardinium	273135	G	4	0	4	0.00000
SRR6145059	Candidatus Atelocyanobacterium	1453359	G	4	0	4	0.00000
SRR6145059	Candidatus Walczuchella	1940138	G	2	1	3	0.00000
SRR6145059	Candidatus Nitrosomarinus	1993653	G	3	0	3	0.00000
SRR6145059	Candidatus Methanoplasma	1607807	G	3	0	3	0.00000
SRR6145059	Candidatus Hoaglandella	1906659	G	2	1	3	0.00000
SRR6145059	Candidatus Fukatsuia	1927833	G	3	0	3	0.00000
SRR6145059	Candidatus Amoebophilus	281119	G	3	0	3	0.00000
SRR6145059	Candidatus Purcelliella	472825	G	2	0	2	0.00000
SRR6145059	Candidatus Profftella	1381133	G	2	0	2	0.00000
SRR6145059	Candidatus Phycorickettsia	2115980	G	2	0	2	0.00000
SRR6145059	Candidatus Nitrosotalea	1078904	G	2	0	2	0.00000
SRR6145059	Candidatus Nitrosopelagicus	1593364	G	2	0	2	0.00000
SRR6145059	Candidatus Nardonella	204619	G	2	0	2	0.00000
SRR6145059	Candidatus Korarchaeum	498845	G	2	0	2	0.00000
SRR6145059	Candidatus Ishikawaella	409304	G	2	0	2	0.00000
SRR6145059	Candidatus Hodgkinia	573657	G	2	0	2	0.00000
SRR6145059	Candidatus Fokinia	1802983	G	2	0	2	0.00000
SRR6145059	Candidatus Carsonella	114185	G	2	0	2	0.00000
SRR6145059	Candidatus Vesicomyosocius	2732587	G	1	0	1	0.00000
SRR6145059	Candidatus Tachikawaea	1682492	G	1	0	1	0.00000
SRR6145059	Candidatus Syntrophocurvum	2293313	G	1	0	1	0.00000
SRR6145059	Candidatus Riesia	401618	G	1	0	1	0.00000
SRR6145059	Candidatus Mikella	1906660	G	1	0	1	0.00000
SRR6145059	Candidatus Midichloria	411566	G	1	0	1	0.00000
SRR6145059	Candidatus Methanomethylophilus	1291539	G	1	0	1	0.00000
SRR6145059	Candidatus Doolittlea	1906657	G	1	0	1	0.00000
SRR6145059	Candidatus Desulfofervidus	1902583	G	1	0	1	0.00000
SRR6145059	Candidatus Deianiraea	2603321	G	1	0	1	0.00000
SRR6145059	Candidatus Cloacimonas	456826	G	1	0	1	0.00000
SRR6145059	Homo	9605	G	5310201	3274	5313475	0.63250
SRR6145059	Paraburkholderia	1822464	G	1092240	27354	1119594	0.13327
SRR6145059	Cutibacterium	1912216	G	595160	8179	603339	0.07182
SRR6145059	Micrococcus	1269	G	109025	7956	116981	0.01393
SRR6145059	Staphylococcus	1279	G	88633	18503	107136	0.01275
SRR6145059	Moraxella	475	G	77920	1894	79814	0.00950
SRR6145059	Corynebacterium	1716	G	77107	2486	79593	0.00947
SRR6145059	Klebsiella	570	G	57153	9759	66912	0.00796
SRR6145059	Acinetobacter	469	G	43736	3445	47181	0.00562
SRR6145059	Gordonia	2053	G	44283	1630	45913	0.00547
SRR6145059	Burkholderia	32008	G	34839	2623	37462	0.00446
SRR6145059	Streptococcus	1301	G	29622	1499	31121	0.00370
SRR6145059	Paracoccus	265	G	28375	2712	31087	0.00370
SRR6145059	Pseudomonas	286	G	26386	1191	27577	0.00328
SRR6145059	Janibacter	53457	G	25251	1315	26566	0.00316
SRR6145059	Chryseobacterium	59732	G	24459	1184	25643	0.00305
SRR6145059	Tsukamurella	2060	G	22647	849	23496	0.00280
SRR6145059	Brevundimonas	41275	G	19978	1305	21283	0.00253
SRR6145059	Halomonas	2745	G	20108	253	20361	0.00242
SRR6145059	Streptomyces	1883	G	18321	541	18862	0.00225
SRR6145059	Microbacterium	33882	G	17036	1303	18339	0.00218
SRR6145059	Dietzia	37914	G	16089	1496	17585	0.00209
SRR6145059	Dermacoccus	57495	G	16028	664	16692	0.00199
SRR6145059	Kocuria	57493	G	15027	637	15664	0.00186
SRR6145059	Sphingomonas	13687	G	13757	1457	15214	0.00181
SRR6145059	Mycolicibacterium	1866885	G	13761	1460	15221	0.00181
SRR6145059	Actinomyces	1654	G	13118	370	13488	0.00161
SRR6145059	Kytococcus	57499	G	10543	693	11236	0.00134
SRR6145059	Deinococcus	1298	G	10960	25	10985	0.00131
SRR6145059	Mycobacterium	1763	G	7106	2209	9315	0.00111
SRR6145059	Neisseria	482	G	8543	412	8955	0.00107
SRR6145059	Rhodococcus	1827	G	8166	384	8550	0.00102
SRR6145059	Bosea	85413	G	7981	461	8442	0.00100
SRR6145059	Nocardioides	1839	G	7891	389	8280	0.00099
SRR6145059	Serratia	613	G	7196	584	7780	0.00093
SRR6145059	Methylobacterium	407	G	7203	646	7849	0.00093
SRR6145059	Escherichia	561	G	422	7405	7827	0.00093
SRR6145059	Stenotrophomonas	40323	G	6526	880	7406	0.00088
SRR6145059	Brevibacterium	1696	G	6718	265	6983	0.00083
SRR6145059	Sphingobium	165695	G	5108	1758	6866	0.00082
SRR6145059	Roseomonas	125216	G	5797	1011	6808	0.00081
SRR6145059	Rothia	32207	G	6280	104	6384	0.00076
SRR6145059	Rhizobium	379	G	4033	2294	6327	0.00075
SRR6145059	Lysobacter	68	G	5667	315	5982	0.00071
SRR6145059	Citrobacter	544	G	5318	665	5983	0.00071
SRR6145059	Sphingobacterium	28453	G	5805	85	5890	0.00070
SRR6145059	Brachybacterium	43668	G	5794	100	5894	0.00070
SRR6145059	Enterobacter	547	G	4736	997	5733	0.00068
SRR6145059	Prevotella	838	G	5055	142	5197	0.00062
SRR6145059	Sphingopyxis	165697	G	4208	639	4847	0.00058
SRR6145059	Haemophilus	724	G	4328	215	4543	0.00054
SRR6145059	Bradyrhizobium	374	G	4127	320	4447	0.00053
SRR6145059	Aeromonas	642	G	3785	378	4163	0.00050
SRR6145059	Pahexavirus	1982251	G	3537	504	4041	0.00048
SRR6145059	Nocardia	1817	G	3571	154	3725	0.00044
SRR6145059	Acidovorax	12916	G	2783	841	3624	0.00043
SRR6145059	Xanthomonas	338	G	3125	308	3433	0.00041
SRR6145059	Finegoldia	150022	G	3171	312	3483	0.00041
SRR6145059	Mesorhizobium	68287	G	3080	243	3323	0.00040
SRR6145059	Massilia	149698	G	3175	170	3345	0.00040
SRR6145059	Luteimonas	83614	G	3066	234	3300	0.00039
SRR6145059	Cupriavidus	106589	G	3108	174	3282	0.00039
SRR6145059	Veillonella	29465	G	3161	12	3173	0.00038
SRR6145059	Janthinobacterium	29580	G	2930	132	3062	0.00036
SRR6145059	Bacillus	1386	G	2410	645	3055	0.00036
SRR6145059	Caulobacter	75	G	2816	106	2922	0.00035
SRR6145059	Micromonospora	1873	G	2559	187	2746	0.00033
SRR6145059	Rhodobacter	1060	G	1736	919	2655	0.00032
SRR6145059	Variovorax	34072	G	2469	107	2576	0.00031
SRR6145059	Pseudonocardia	1847	G	2203	88	2291	0.00027
SRR6145059	Mycobacteroides	670516	G	1264	1012	2276	0.00027
