sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145059	Homo sapiens	9606	S	5310201	3274	5313475	0.63250
SRR6145059	Candidatus Saccharibacteria bacterium oral taxon 957	2572088	S	76	39	115	0.00001
SRR6145059	Candidatus Saccharibacteria bacterium oral taxon 955	2572087	S	17	24	41	0.00000
SRR6145059	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	1618022	S	16	2	18	0.00000
SRR6145059	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	S	6	0	6	0.00000
SRR6145059	Deinococcus soli Cha et al. 2016	1309411	S	297	131	428	0.00005
SRR6145059	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	1261031	S	10	2	12	0.00000
SRR6145059	Paraburkholderia fungorum	134537	S	1028935	48039	1076974	0.12820
SRR6145059	Candidatus Saccharibacteria bacterium oral taxon 488	713059	S	178	71	249	0.00003
SRR6145059	Cutibacterium acnes	1747	S	568969	12837	581806	0.06926
SRR6145059	Sphingomonas ginsengisoli An et al. 2013	363835	S	234	4	238	0.00003
SRR6145059	Lymphocystis disease virus - isolate China	256729	S	1	0	1	0.00000
SRR6145059	Micrococcus luteus	1270	S	65138	37777	102915	0.01225
SRR6145059	Moraxella osloensis	34062	S	77705	1936	79641	0.00948
SRR6145059	Klebsiella michiganensis	1134687	S	3384	38256	41640	0.00496
SRR6145059	Staphylococcus epidermidis	1282	S	25491	6551	32042	0.00381
SRR6145059	Corynebacterium segmentosum	43990	S	29368	1214	30582	0.00364
SRR6145059	Tsukamurella tyrosinosolvens	57704	S	20537	1632	22169	0.00264
SRR6145059	Janibacter indicus	857417	S	19089	1661	20750	0.00247
SRR6145059	Dermacoccus nishinomiyaensis	1274	S	16028	664	16692	0.00199
SRR6145059	Cutibacterium granulosum	33011	S	15124	622	15746	0.00187
SRR6145059	Acinetobacter baumannii	470	S	3592	11142	14734	0.00175
SRR6145059	Staphylococcus saprophyticus	29385	S	10925	1332	12257	0.00146
SRR6145059	Gordonia terrae	2055	S	8797	2934	11731	0.00140
SRR6145059	Kytococcus sedentarius	1276	S	10543	693	11236	0.00134
SRR6145059	Staphylococcus hominis	1290	S	10231	936	11167	0.00133
SRR6145059	Micrococcus sp. KBS0714	1179670	S	2898	11167	14065	0.00167
SRR6145059	Gordonia bronchialis	2054	S	9437	530	9967	0.00119
SRR6145059	Paracoccus sanguinis	1545044	S	8975	983	9958	0.00119
SRR6145059	Staphylococcus warneri	1292	S	3322	6473	9795	0.00117
SRR6145059	Staphylococcus capitis	29388	S	8934	821	9755	0.00116
SRR6145059	Halomonas hydrothermalis	115561	S	8676	875	9551	0.00114
SRR6145059	Paracoccus yeei	147645	S	4938	4396	9334	0.00111
SRR6145059	Klebsiella oxytoca	571	S	2445	6873	9318	0.00111
SRR6145059	Klebsiella pneumoniae	573	S	1138	8154	9292	0.00111
SRR6145059	Corynebacterium ureicelerivorans	401472	S	8130	569	8699	0.00104
SRR6145059	Paraburkholderia caffeinilytica	1761016	S	8218	398	8616	0.00103
