sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145060	Candidatus Atelocyanobacterium	1453359	G	1	0	1	0.00105
SRR6145060	Cutibacterium	1912216	G	829	2	831	0.87382
SRR6145060	Homo	9605	G	42	0	42	0.04416
SRR6145060	Moraxella	475	G	36	2	38	0.03996
SRR6145060	Micrococcus	1269	G	10	0	10	0.01052
SRR6145060	Pasteurella	745	G	7	0	7	0.00736
SRR6145060	Staphylococcus	1279	G	5	0	5	0.00526
SRR6145060	Prevotella	838	G	3	0	3	0.00315
SRR6145060	Halomonas	2745	G	2	0	2	0.00210
SRR6145060	Clostridium	1485	G	2	0	2	0.00210
SRR6145060	Anabaena	1163	G	1	1	2	0.00210
SRR6145060	Streptococcus	1301	G	1	0	1	0.00105
SRR6145060	Pseudarthrobacter	1742993	G	1	0	1	0.00105
SRR6145060	Mycolicibacterium	1866885	G	1	0	1	0.00105
SRR6145060	Dermacoccus	57495	G	1	0	1	0.00105
SRR6145060	Dermabacter	36739	G	1	0	1	0.00105
SRR6145060	Chryseobacterium	59732	G	1	0	1	0.00105
SRR6145060	Acinetobacter	469	G	1	0	1	0.00105
SRR6145060	Scytonema	1203	G	1	-1	0	0.00000
SRR6145060	Polerovirus	119164	G	1	-1	0	0.00000
SRR6145060	Paenibacillus	44249	G	1	-1	0	0.00000
SRR6145060	Dolichospermum	748770	G	1	-1	0	0.00000
SRR6145060	Chlamydia	810	G	1	-1	0	0.00000
SRR6145060	Brasilonema	383614	G	1	-1	0	0.00000
