sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145060	Candidatus Babeliae	2497643	C	5	31	36	0.00000
SRR6145060	Candidatus Brocadiae	2517206	C	11	0	11	0.00000
SRR6145060	Mammalia	40674	C	6039591	2789	6042380	0.79620
SRR6145060	Actinobacteria	1760	C	713943	917	714860	0.09420
SRR6145060	Gammaproteobacteria	1236	C	277564	7197	284761	0.03752
SRR6145060	Bacilli	91061	C	211685	21277	232962	0.03070
SRR6145060	Alphaproteobacteria	28211	C	124202	1342	125544	0.01654
SRR6145060	Betaproteobacteria	28216	C	58257	1134	59391	0.00783
SRR6145060	Flavobacteriia	117743	C	37662	544	38206	0.00503
SRR6145060	Bacteroidia	200643	C	15420	20	15440	0.00203
SRR6145060	Tissierellia	1737404	C	9576	579	10155	0.00134
SRR6145060	Deinococci	188787	C	6015	3386	9401	0.00124
SRR6145060	Fusobacteriia	203490	C	8337	25	8362	0.00110
SRR6145060	Sphingobacteriia	117747	C	7034	107	7141	0.00094
SRR6145060	Deltaproteobacteria	28221	C	6875	1	6876	0.00091
SRR6145060	Clostridia	186801	C	5519	118	5637	0.00074
SRR6145060	Negativicutes	909932	C	4868	11	4879	0.00064
SRR6145060	Caudoviricetes	2731619	C	3571	1160	4731	0.00062
SRR6145060	Epsilonproteobacteria	29547	C	4361	23	4384	0.00058
SRR6145060	Cytophagia	768503	C	2665	2	2667	0.00035
SRR6145060	Planctomycetia	203683	C	920	921	1841	0.00024
SRR6145060	Halobacteria	183963	C	1334	-1	1333	0.00018
SRR6145060	Spirochaetia	203692	C	750	358	1108	0.00015
SRR6145060	Mollicutes	31969	C	740	24	764	0.00010
SRR6145060	Chitinophagia	1853228	C	657	132	789	0.00010
SRR6145060	Rubrobacteria	84995	C	515	2	517	0.00007
SRR6145060	Coriobacteriia	84998	C	532	4	536	0.00007
SRR6145060	Thermoleophilia	1497346	C	210	2	212	0.00003
SRR6145060	Opitutae	414999	C	191	3	194	0.00003
SRR6145060	Oligoflexia	1553900	C	199	0	199	0.00003
SRR6145060	Nitriliruptoria	908620	C	201	0	201	0.00003
SRR6145060	Methanomicrobia	224756	C	203	-2	201	0.00003
SRR6145060	Gemmatimonadetes	219685	C	196	0	196	0.00003
SRR6145060	Erysipelotrichia	526524	C	181	43	224	0.00003
SRR6145060	Acidobacteriia	204432	C	227	1	228	0.00003
SRR6145060	Acidimicrobiia	84992	C	196	27	223	0.00003
SRR6145060	Verrucomicrobiae	203494	C	132	31	163	0.00002
SRR6145060	Thermoprotei	183924	C	151	32	183	0.00002
SRR6145060	Vicinamibacteria	1813735	C	56	0	56	0.00001
SRR6145060	Thermotogae	188708	C	87	-16	71	0.00001
SRR6145060	Thermoplasmata	183967	C	38	7	45	0.00001
SRR6145060	Thermococci	183968	C	83	-2	81	0.00001
SRR6145060	Synergistia	649775	C	61	0	61	0.00001
SRR6145060	Revtraviricetes	2732514	C	14	49	63	0.00001
SRR6145060	Phycisphaerae	666505	C	96	0	96	0.00001
SRR6145060	Papovaviricetes	2732421	C	63	0	63	0.00001
SRR6145060	Nitrospira	203693	C	63	0	63	0.00001
SRR6145060	Nitrososphaeria	1643678	C	22	33	55	0.00001
SRR6145060	Methanococci	183939	C	104	2	106	0.00001
SRR6145060	Methanobacteria	183925	C	106	0	106	0.00001
SRR6145060	Megaviricetes	2732523	C	60	0	60	0.00001
SRR6145060	Malgrandaviricetes	2732413	C	16	84	100	0.00001
SRR6145060	Hydrogenophilalia	2008785	C	44	0	44	0.00001
SRR6145060	Herviviricetes	2731363	C	41	0	41	0.00001
SRR6145060	Fimbriimonadia	1663419	C	24	14	38	0.00001
SRR6145060	Deferribacteres	68337	C	39	0	39	0.00001
SRR6145060	Chloroflexia	32061	C	52	-9	43	0.00001
SRR6145060	Chlorobia	191410	C	82	0	82	0.00001
SRR6145060	Chlamydiia	204429	C	81	0	81	0.00001
SRR6145060	Aquificae	187857	C	53	0	53	0.00001
SRR6145060	Acidithiobacillia	1807140	C	46	-3	43	0.00001
SRR6145060	Zetaproteobacteria	580370	C	24	0	24	0.00000
SRR6145060	Tolucaviricetes	2732463	C	11	-11	0	0.00000
SRR6145060	Thermomicrobia	189775	C	35	0	35	0.00000
SRR6145060	Thermodesulfobacteria	67799	C	32	0	32	0.00000
SRR6145060	Tepidiformia	2682225	C	27	0	27	0.00000
SRR6145060	Tectiliviricetes	2732529	C	7	0	7	0.00000
SRR6145060	Stelpaviricetes	2732507	C	3	0	3	0.00000
SRR6145060	Spartobacteria	134549	C	1	0	1	0.00000
SRR6145060	Saprospiria	1937959	C	16	0	16	0.00000
SRR6145060	Resentoviricetes	2732459	C	1	0	1	0.00000
SRR6145060	Repensiviricetes	2732424	C	4	0	4	0.00000
SRR6145060	Quintoviricetes	2732422	C	1	0	1	0.00000
SRR6145060	Pokkesviricetes	2732525	C	31	-3	28	0.00000
SRR6145060	Pisoniviricetes	2732506	C	5	0	5	0.00000
SRR6145060	Nanohaloarchaea	1051663	C	1	0	1	0.00000
SRR6145060	Monjiviricetes	2497574	C	4	0	4	0.00000
SRR6145060	Methylacidiphilae	1955630	C	12	0	12	0.00000
SRR6145060	Methanopyri	183988	C	5	-1	4	0.00000
SRR6145060	Maveriviricetes	2732528	C	1	0	1	0.00000
SRR6145060	Limnochordia	1676648	C	30	0	30	0.00000
SRR6145060	Lentisphaeria	1313211	C	15	0	15	0.00000
SRR6145060	Laserviricetes	2732010	C	1	0	1	0.00000
SRR6145060	Ktedonobacteria	388447	C	12	0	12	0.00000
SRR6145060	Kiritimatiellae	1921781	C	10	7	17	0.00000
SRR6145060	Insthoviricetes	2497577	C	1	0	1	0.00000
SRR6145060	Ignavibacteria	795747	C	21	7	28	0.00000
SRR6145060	Gloeobacteria	307596	C	26	3	29	0.00000
SRR6145060	Flasuviricetes	2732462	C	1	0	1	0.00000
