sample	contig	taxid	name
SRR9696284	k99_16715	9606	Homo sapiens
SRR9696284	k99_20713	9606	Homo sapiens
SRR9696284	k99_9394	9606	Homo sapiens
SRR9696284	k99_18774	9606	Homo sapiens
SRR9696284	k99_4026	9606	Homo sapiens
SRR9696284	k99_11963	9606	Homo sapiens
SRR9696284	k99_19501	9606	Homo sapiens
SRR9696284	k99_376	9606	Homo sapiens
SRR9696284	k99_22652	9606	Homo sapiens
SRR9696284	k99_18660	9606	Homo sapiens
SRR9696284	k99_5127	9606	Homo sapiens
SRR9696284	k99_9650	9606	Homo sapiens
SRR9696284	k99_23259	9606	Homo sapiens
SRR9696284	k99_12817	9606	Homo sapiens
SRR9696284	k99_2458	9606	Homo sapiens
SRR9696284	k99_16242	9606	Homo sapiens
SRR9696284	k99_3921	9606	Homo sapiens
SRR9696284	k99_6482	9606	Homo sapiens
SRR9696284	k99_4892	9606	Homo sapiens
SRR9696284	k99_18787	9606	Homo sapiens
SRR9696284	k99_13928	9606	Homo sapiens
SRR9696284	k99_14561	9606	Homo sapiens
SRR9696284	k99_2233	9606	Homo sapiens
SRR9696284	k99_4672	9606	Homo sapiens
SRR9696284	k99_13692	9606	Homo sapiens
SRR9696284	k99_20491	9606	Homo sapiens
SRR9696284	k99_4899	9606	Homo sapiens
SRR9696284	k99_13933	9606	Homo sapiens
SRR9696284	k99_22679	9606	Homo sapiens
SRR9696284	k99_2952	9606	Homo sapiens
SRR9696284	k99_9297	9606	Homo sapiens
SRR9696284	k99_20966	9606	Homo sapiens
SRR9696284	k99_10166	9606	Homo sapiens
SRR9696284	k99_11511	9606	Homo sapiens
SRR9696284	k99_21955	9606	Homo sapiens
SRR9696284	k99_12505	9606	Homo sapiens
SRR9696284	k99_4683	9606	Homo sapiens
SRR9696284	k99_10168	1716	Corynebacterium
SRR9696284	k99_10645	9606	Homo sapiens
SRR9696284	k99_16658	9606	Homo sapiens
SRR9696284	k99_10048	9606	Homo sapiens
SRR9696284	k99_12730	9606	Homo sapiens
SRR9696284	k99_2006	9606	Homo sapiens
SRR9696284	k99_7482	9606	Homo sapiens
SRR9696284	k99_19171	9606	Homo sapiens
SRR9696284	k99_10419	9606	Homo sapiens
SRR9696284	k99_20893	9606	Homo sapiens
SRR9696284	k99_17256	9606	Homo sapiens
SRR9696284	k99_11287	9606	Homo sapiens
SRR9696284	k99_16515	9606	Homo sapiens
SRR9696284	k99_5170	9606	Homo sapiens
SRR9696284	k99_19667	9606	Homo sapiens
SRR9696284	k99_1670	9606	Homo sapiens
SRR9696284	k99_2524	9606	Homo sapiens
SRR9696284	k99_21991	9606	Homo sapiens
SRR9696284	k99_15454	9606	Homo sapiens
SRR9696284	k99_2396	9606	Homo sapiens
SRR9696284	k99_8238	9606	Homo sapiens
SRR9696284	k99_21250	9606	Homo sapiens
SRR9696284	k99_8735	9606	Homo sapiens
SRR9696284	k99_10206	9606	Homo sapiens
SRR9696284	k99_15212	9606	Homo sapiens
SRR9696284	k99_9118	9606	Homo sapiens
SRR9696284	k99_1422	9606	Homo sapiens
SRR9696284	k99_12175	9606	Homo sapiens
SRR9696284	k99_8243	9606	Homo sapiens
SRR9696284	k99_7773	9606	Homo sapiens
SRR9696284	k99_3607	9606	Homo sapiens
SRR9696284	k99_23227	9606	Homo sapiens
SRR9696284	k99_7007	9606	Homo sapiens
SRR9696284	k99_1046	9606	Homo sapiens
SRR9696284	k99_14335	9606	Homo sapiens
SRR9696284	k99_8750	9606	Homo sapiens
SRR9696284	k99_7150	9606	Homo sapiens
SRR9696284	k99_20430	9606	Homo sapiens
SRR9696284	k99_19830	9606	Homo sapiens
SRR9696284	k99_15087	9606	Homo sapiens
SRR9696284	k99_5467	9606	Homo sapiens
SRR9696284	k99_18619	9606	Homo sapiens
SRR9696284	k99_3010	9606	Homo sapiens
SRR9696284	k99_22360	9606	Homo sapiens
SRR9696284	k99_17664	9606	Homo sapiens
SRR9696284	k99_13296	1760	Actinobacteria
SRR9696284	k99_2666	9606	Homo sapiens
SRR9696284	k99_18857	9606	Homo sapiens
SRR9696284	k99_19600	9606	Homo sapiens
SRR9696284	k99_19354	9606	Homo sapiens
SRR9696284	k99_21052	9606	Homo sapiens
SRR9696284	k99_5694	9606	Homo sapiens
SRR9696284	k99_6582	9606	Homo sapiens
SRR9696284	k99_14262	9606	Homo sapiens
SRR9696284	k99_22995	9606	Homo sapiens
SRR9696284	k99_4018	9606	Homo sapiens
SRR9696284	k99_13517	9606	Homo sapiens
SRR9696284	k99_4024	9606	Homo sapiens
SRR9696284	k99_14516	9606	Homo sapiens
SRR9696284	k99_598	9606	Homo sapiens
