sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR9696284	Candidatus Nanopelagicales	2039638	O	1	0	1	0.00000
SRR9696284	Primates	9443	O	9859824	3340	9863164	0.99515
SRR9696284	Enterobacterales	91347	O	169	15175	15344	0.00155
SRR9696284	Propionibacteriales	85009	O	10693	154	10847	0.00109
SRR9696284	Corynebacteriales	85007	O	10599	104	10703	0.00108
SRR9696284	Bacillales	1385	O	3929	322	4251	0.00043
SRR9696284	Micrococcales	85006	O	2613	90	2703	0.00027
SRR9696284	Lactobacillales	186826	O	683	14	697	0.00007
SRR9696284	Tissierellales	1737405	O	414	69	483	0.00005
SRR9696284	Caudovirales	28883	O	533	9	542	0.00005
SRR9696284	Pseudomonadales	72274	O	367	16	383	0.00004
SRR9696284	Rhizobiales	356	O	165	5	170	0.00002
SRR9696284	Clostridiales	186802	O	146	7	153	0.00002
SRR9696284	Burkholderiales	80840	O	200	17	217	0.00002
SRR9696284	Xanthomonadales	135614	O	93	4	97	0.00001
SRR9696284	Streptomycetales	85011	O	141	1	142	0.00001
SRR9696284	Sphingomonadales	204457	O	63	2	65	0.00001
SRR9696284	Rhodospirillales	204441	O	101	6	107	0.00001
SRR9696284	Rhodobacterales	204455	O	129	-1	128	0.00001
SRR9696284	Pseudonocardiales	85010	O	57	-2	55	0.00001
SRR9696284	Pasteurellales	135625	O	124	9	133	0.00001
SRR9696284	Flavobacteriales	200644	O	67	0	67	0.00001
SRR9696284	Bacteroidales	171549	O	68	-1	67	0.00001
SRR9696284	Actinomycetales	2037	O	84	1	85	0.00001
SRR9696284	Vibrionales	135623	O	12	0	12	0.00000
SRR9696284	Verrucomicrobiales	48461	O	3	0	3	0.00000
SRR9696284	Veillonellales	1843489	O	18	0	18	0.00000
SRR9696284	Tubulavirales	2732094	O	1	0	1	0.00000
SRR9696284	Thiotrichales	72273	O	4	-3	1	0.00000
SRR9696284	Thermotogales	2419	O	2	0	2	0.00000
SRR9696284	Thermomicrobiales	189776	O	1	0	1	0.00000
SRR9696284	Thermococcales	2258	O	1	0	1	0.00000
SRR9696284	Thermoanaerobacterales	68295	O	5	-2	3	0.00000
SRR9696284	Thermales	68933	O	6	0	6	0.00000
SRR9696284	Syntrophobacterales	213462	O	1	0	1	0.00000
