sample	contig	taxid	name
SRR6145058	k99_504	1747	Cutibacterium acnes
SRR6145058	k99_5670	1747	Cutibacterium acnes
SRR6145058	k99_10206	1747	Cutibacterium acnes
SRR6145058	k99_3276	1234380	Cutibacterium acnes C1
SRR6145058	k99_6867	1747	Cutibacterium acnes
SRR6145058	k99_3277	1747	Cutibacterium acnes
SRR6145058	k99_3655	1747	Cutibacterium acnes
SRR6145058	k99_10774	1747	Cutibacterium acnes
SRR6145058	k99_5041	1747	Cutibacterium acnes
SRR6145058	k99_8005	1747	Cutibacterium acnes
SRR6145058	k99_5796	1747	Cutibacterium acnes
SRR6145058	k99_7122	1747	Cutibacterium acnes
SRR6145058	k99_10898	1747	Cutibacterium acnes
SRR6145058	k99_11643	1747	Cutibacterium acnes
SRR6145058	k99_1386	1747	Cutibacterium acnes
SRR6145058	k99_7371	1747	Cutibacterium acnes
SRR6145058	k99_7749	1747	Cutibacterium acnes
SRR6145058	k99_6742	1747	Cutibacterium acnes
SRR6145058	k99_12014	1747	Cutibacterium acnes
SRR6145058	k99_9642	1747	Cutibacterium acnes
SRR6145058	k99_6745	1747	Cutibacterium acnes
SRR6145058	k99_1834	1747	Cutibacterium acnes
SRR6145058	k99_4731	1747	Cutibacterium acnes
SRR6145058	k99_2460	1747	Cutibacterium acnes
SRR6145058	k99_1513	1747	Cutibacterium acnes
SRR6145058	k99_6301	1747	Cutibacterium acnes
SRR6145058	k99_1514	1747	Cutibacterium acnes
SRR6145058	k99_9897	1747	Cutibacterium acnes
SRR6145058	k99_3404	1747	Cutibacterium acnes
SRR6145058	k99_2773	1747	Cutibacterium acnes
SRR6145058	k99_11027	1747	Cutibacterium acnes
SRR6145058	k99_2079	9606	Homo sapiens
SRR6145058	k99_4855	1234380	Cutibacterium acnes C1
SRR6145058	k99_947	1234380	Cutibacterium acnes C1
SRR6145058	k99_5420	1747	Cutibacterium acnes
SRR6145058	k99_9958	1747	Cutibacterium acnes
SRR6145058	k99_4032	1747	Cutibacterium acnes
SRR6145058	k99_10081	1747	Cutibacterium acnes
SRR6145058	k99_11708	1747	Cutibacterium acnes
SRR6145058	k99_6239	1747	Cutibacterium acnes
SRR6145058	k99_5424	1747	Cutibacterium acnes
SRR6145058	k99_4983	1747	Cutibacterium acnes
SRR6145058	k99_6491	9606	Homo sapiens
SRR6145058	k99_5738	1747	Cutibacterium acnes
SRR6145058	k99_6242	1747	Cutibacterium acnes
SRR6145058	k99_10586	1747	Cutibacterium acnes
SRR6145058	k99_10144	1234380	Cutibacterium acnes C1
SRR6145058	k99_6556	1747	Cutibacterium acnes
SRR6145058	k99_5739	29382	Staphylococcus cohnii
SRR6145058	k99_10780	1747	Cutibacterium acnes
SRR6145058	k99_8637	1747	Cutibacterium acnes
SRR6145058	k99_1516	1747	Cutibacterium acnes
SRR6145058	k99_11770	1747	Cutibacterium acnes
SRR6145058	k99_4234	1747	Cutibacterium acnes
SRR6145058	k99_2900	1091045	Cutibacterium acnes subsp. defendens ATCC 11828
SRR6145058	k99_3530	1747	Cutibacterium acnes
SRR6145058	k99_12019	1234380	Cutibacterium acnes C1
SRR6145058	k99_1451	1747	Cutibacterium acnes
SRR6145058	k99_6433	1747	Cutibacterium acnes
SRR6145058	k99_11459	1747	Cutibacterium acnes
SRR6145058	k99_7821	1747	Cutibacterium acnes
SRR6145058	k99_6434	1747	Cutibacterium acnes
SRR6145058	k99_12020	1747	Cutibacterium acnes
SRR6145058	k99_8068	1747	Cutibacterium acnes
SRR6145058	k99_948	9606	Homo sapiens
SRR6145058	k99_4860	1747	Cutibacterium acnes
SRR6145058	k99_8069	1747	Cutibacterium acnes
SRR6145058	k99_4861	1747	Cutibacterium acnes
SRR6145058	k99_4347	1747	Cutibacterium acnes
SRR6145058	k99_8570	1747	Cutibacterium acnes
SRR6145058	k99_10651	1747	Cutibacterium acnes
SRR6145058	k99_6443	1747	Cutibacterium acnes
SRR6145058	k99_10655	1747	Cutibacterium acnes
SRR6145058	k99_4609	1747	Cutibacterium acnes
SRR6145058	k99_4039	1747	Cutibacterium acnes
SRR6145058	k99_7376	1747	Cutibacterium acnes
SRR6145058	k99_3091	1747	Cutibacterium acnes
SRR6145058	k99_4041	9606	Homo sapiens
SRR6145058	k99_1264	1747	Cutibacterium acnes
SRR6145058	k99_6686	9606	Homo sapiens
SRR6145058	k99_7880	1747	Cutibacterium acnes
SRR6145058	k99_826	1270	Micrococcus luteus
SRR6145058	k99_11335	1234380	Cutibacterium acnes C1
SRR6145058	k99_2583	1234380	Cutibacterium acnes C1
SRR6145058	k99_7881	1747	Cutibacterium acnes
SRR6145058	k99_6559	1747	Cutibacterium acnes
SRR6145058	k99_4044	1747	Cutibacterium acnes
SRR6145058	k99_8011	1747	Cutibacterium acnes
SRR6145058	k99_6560	1747	Cutibacterium acnes
SRR6145058	k99_7127	1747	Cutibacterium acnes
SRR6145058	k99_9707	1747	Cutibacterium acnes
SRR6145058	k99_6370	1747	Cutibacterium acnes
SRR6145058	k99_1520	1270	Micrococcus luteus
SRR6145058	k99_12023	1747	Cutibacterium acnes
SRR6145058	k99_11337	1747	Cutibacterium acnes
SRR6145058	k99_8072	1747	Cutibacterium acnes
SRR6145058	k99_4414	1747	Cutibacterium acnes
SRR6145058	k99_7002	9606	Homo sapiens
SRR6145058	k99_10215	1747	Cutibacterium acnes
SRR6145058	k99_8889	1747	Cutibacterium acnes
SRR6145058	k99_4734	1747	Cutibacterium acnes
SRR6145058	k99_5299	1234380	Cutibacterium acnes C1
SRR6145058	k99_11893	1747	Cutibacterium acnes
SRR6145058	k99_2649	1747	Cutibacterium acnes
SRR6145058	k99_5740	1747	Cutibacterium acnes
SRR6145058	k99_11031	1747	Cutibacterium acnes
SRR6145058	k99_7316	1747	Cutibacterium acnes
SRR6145058	k99_9836	1747	Cutibacterium acnes
SRR6145058	k99_3283	1747	Cutibacterium acnes
SRR6145058	k99_4480	1747	Cutibacterium acnes
SRR6145058	k99_9901	1234380	Cutibacterium acnes C1
SRR6145058	k99_4162	1747	Cutibacterium acnes
SRR6145058	k99_5742	1234380	Cutibacterium acnes C1
SRR6145058	k99_6565	9606	Homo sapiens
SRR6145058	k99_10275	1747	Cutibacterium acnes
SRR6145058	k99_448	1747	Cutibacterium acnes
SRR6145058	k99_2720	1747	Cutibacterium acnes
