sample	contig	length
SRR6145059	k99_15746 	 135362
SRR6145059	k99_14351 	 117723
SRR6145059	k99_15713 	 115545
SRR6145059	k99_15706 	 113005
SRR6145059	k99_15760 	 100477
SRR6145059	k99_14609 	 87576
SRR6145059	k99_14940 	 87214
SRR6145059	k99_15764 	 84016
SRR6145059	k99_15748 	 81547
SRR6145059	k99_15747 	 78069
SRR6145059	k99_15757 	 77884
SRR6145059	k99_15705 	 77203
SRR6145059	k99_15253 	 72501
SRR6145059	k99_14055 	 69342
SRR6145059	k99_14827 	 68736
SRR6145059	k99_14820 	 68033
SRR6145059	k99_15703 	 66552
SRR6145059	k99_15756 	 63751
SRR6145059	k99_8175 	 63671
SRR6145059	k99_14623 	 62740
SRR6145059	k99_15749 	 60685
SRR6145059	k99_14871 	 59466
SRR6145059	k99_15103 	 59455
SRR6145059	k99_15137 	 59269
SRR6145059	k99_9909 	 59255
SRR6145059	k99_15547 	 59166
SRR6145059	k99_15189 	 57556
SRR6145059	k99_10636 	 57455
SRR6145059	k99_11179 	 55002
SRR6145059	k99_13657 	 54961
SRR6145059	k99_10780 	 54360
SRR6145059	k99_15527 	 53033
SRR6145059	k99_14306 	 52832
SRR6145059	k99_14470 	 52324
SRR6145059	k99_7716 	 52135
SRR6145059	k99_6869 	 51805
SRR6145059	k99_10577 	 50705
SRR6145059	k99_10753 	 50625
SRR6145059	k99_15647 	 50057
SRR6145059	k99_14590 	 49970
SRR6145059	k99_13632 	 49949
SRR6145059	k99_10106 	 49802
SRR6145059	k99_12620 	 49785
SRR6145059	k99_14742 	 49592
SRR6145059	k99_15199 	 49085
SRR6145059	k99_15606 	 48902
SRR6145059	k99_14023 	 47030
SRR6145059	k99_15048 	 46826
SRR6145059	k99_15404 	 45613
SRR6145059	k99_6676 	 44500
SRR6145059	k99_15690 	 44302
SRR6145059	k99_15633 	 44120
SRR6145059	k99_12807 	 43848
SRR6145059	k99_9594 	 43127
SRR6145059	k99_10999 	 42590
SRR6145059	k99_12284 	 42583
SRR6145059	k99_8443 	 42174
SRR6145059	k99_11689 	 42049
SRR6145059	k99_13091 	 41690
SRR6145059	k99_15758 	 41602
SRR6145059	k99_11897 	 41451
SRR6145059	k99_15292 	 41323
SRR6145059	k99_14208 	 40921
SRR6145059	k99_15542 	 40855
SRR6145059	k99_15755 	 40197
SRR6145059	k99_15566 	 39653
SRR6145059	k99_12295 	 39016
SRR6145059	k99_10452 	 38209
SRR6145059	k99_14770 	 37818
SRR6145059	k99_15571 	 37141
SRR6145059	k99_9942 	 36980
SRR6145059	k99_15707 	 36258
SRR6145059	k99_13682 	 35679
SRR6145059	k99_10007 	 35498
SRR6145059	k99_14567 	 35442
SRR6145059	k99_14334 	 35214
SRR6145059	k99_13463 	 34759
SRR6145059	k99_15088 	 34700
SRR6145059	k99_11876 	 34353
SRR6145059	k99_10214 	 33774
SRR6145059	k99_15718 	 33652
SRR6145059	k99_14925 	 33600
SRR6145059	k99_14818 	 33407
SRR6145059	k99_15553 	 33402
SRR6145059	k99_14619 	 33301
SRR6145059	k99_15272 	 32895
SRR6145059	k99_15535 	 32064
SRR6145059	k99_15067 	 32063
SRR6145059	k99_8899 	 32045
SRR6145059	k99_15696 	 31684
SRR6145059	k99_14776 	 31668
SRR6145059	k99_8634 	 31307
SRR6145059	k99_12815 	 31039
SRR6145059	k99_15419 	 30707
SRR6145059	k99_15196 	 30589
SRR6145059	k99_11888 	 30462
SRR6145059	k99_12301 	 29714
SRR6145059	k99_15180 	 29261
SRR6145059	k99_12221 	 28841
SRR6145059	k99_10433 	 28692
SRR6145059	k99_10373 	 28627
SRR6145059	k99_12146 	 28370
SRR6145059	k99_11048 	 27782
SRR6145059	k99_11348 	 27731
SRR6145059	k99_14857 	 27632
SRR6145059	k99_5664 	 27385
SRR6145059	k99_13722 	 27147
SRR6145059	k99_9487 	 26810
SRR6145059	k99_14910 	 25928
SRR6145059	k99_10846 	 25766
SRR6145059	k99_15262 	 25657
SRR6145059	k99_8498 	 25538
SRR6145059	k99_14265 	 25525
SRR6145059	k99_13608 	 25499
SRR6145059	k99_9834 	 25457
SRR6145059	k99_5877 	 25418
SRR6145059	k99_11778 	 25395
SRR6145059	k99_6548 	 25192
SRR6145059	k99_13335 	 25176
SRR6145059	k99_11144 	 25073
SRR6145059	k99_12390 	 24813
SRR6145059	k99_15617 	 24781
SRR6145059	k99_14761 	 24416
SRR6145059	k99_9629 	 24368
SRR6145059	k99_15350 	 24145
SRR6145059	k99_8353 	 23912
SRR6145059	k99_6154 	 23718
SRR6145059	k99_6326 	 23602
SRR6145059	k99_9341 	 23185
SRR6145059	k99_14903 	 23091
SRR6145059	k99_13130 	 22800
SRR6145059	k99_15021 	 22645
SRR6145059	k99_14915 	 22596
SRR6145059	k99_12315 	 22484
SRR6145059	k99_8203 	 22245
SRR6145059	k99_15655 	 22188
SRR6145059	k99_15719 	 22067
SRR6145059	k99_11749 	 21986
SRR6145059	k99_15461 	 21953
SRR6145059	k99_10291 	 21924
SRR6145059	k99_15403 	 21694
SRR6145059	k99_15121 	 21386
SRR6145059	k99_7328 	 21177
SRR6145059	k99_13879 	 21175
SRR6145059	k99_11679 	 20931
SRR6145059	k99_4636 	 20589
SRR6145059	k99_5679 	 20581
SRR6145059	k99_8347 	 20292
SRR6145059	k99_15133 	 20237
SRR6145059	k99_14287 	 19984
SRR6145059	k99_8169 	 19782
SRR6145059	k99_14889 	 19724
SRR6145059	k99_13891 	 19723
SRR6145059	k99_8322 	 19696
SRR6145059	k99_4937 	 19451
SRR6145059	k99_13785 	 19030
SRR6145059	k99_5598 	 18906
SRR6145059	k99_15575 	 18637
SRR6145059	k99_13845 	 18504
SRR6145059	k99_7977 	 18477
SRR6145059	k99_11049 	 18361
SRR6145059	k99_12776 	 18316
SRR6145059	k99_14614 	 18160
SRR6145059	k99_11985 	 18111
SRR6145059	k99_8131 	 17964
SRR6145059	k99_12854 	 17854
SRR6145059	k99_8539 	 17837
SRR6145059	k99_5020 	 17381
SRR6145059	k99_14167 	 17350
SRR6145059	k99_11169 	 17323
SRR6145059	k99_6251 	 17288
SRR6145059	k99_5531 	 16738
SRR6145059	k99_4295 	 16583
SRR6145059	k99_5391 	 16569
SRR6145059	k99_5311 	 16504
SRR6145059	k99_14938 	 16476
SRR6145059	k99_5200 	 16328
SRR6145059	k99_6166 	 16291
SRR6145059	k99_13526 	 16248
SRR6145059	k99_6254 	 16168
SRR6145059	k99_4764 	 16140
SRR6145059	k99_10618 	 15998
SRR6145059	k99_11385 	 15778
SRR6145059	k99_7077 	 15754
SRR6145059	k99_12009 	 15364
SRR6145059	k99_14147 	 15164
SRR6145059	k99_6852 	 14992
SRR6145059	k99_15181 	 14870
SRR6145059	k99_9483 	 14864
SRR6145059	k99_3130 	 14573
SRR6145059	k99_4170 	 14460
SRR6145059	k99_5604 	 14442
SRR6145059	k99_4763 	 14410
SRR6145059	k99_6881 	 14393
SRR6145059	k99_11177 	 13980
SRR6145059	k99_14473 	 13955
SRR6145059	k99_13688 	 13833
SRR6145059	k99_10037 	 13538
SRR6145059	k99_10694 	 13322
SRR6145059	k99_6216 	 13315
