sample	contig	length
SRR6145058	k99_12033 	 16011
SRR6145058	k99_7398 	 14944
SRR6145058	k99_10641 	 14600
SRR6145058	k99_11230 	 14505
SRR6145058	k99_10301 	 12551
SRR6145058	k99_4695 	 12080
SRR6145058	k99_10199 	 11982
SRR6145058	k99_4802 	 10569
SRR6145058	k99_12019 	 10468
SRR6145058	k99_6862 	 10052
SRR6145058	k99_11922 	 9878
SRR6145058	k99_3530 	 9797
SRR6145058	k99_3454 	 9739
SRR6145058	k99_11594 	 9640
SRR6145058	k99_3978 	 9507
SRR6145058	k99_9720 	 9316
SRR6145058	k99_12010 	 9229
SRR6145058	k99_9938 	 9142
SRR6145058	k99_3234 	 9047
SRR6145058	k99_11563 	 8793
SRR6145058	k99_7376 	 8414
SRR6145058	k99_3141 	 8248
SRR6145058	k99_9036 	 7930
SRR6145058	k99_12005 	 7910
SRR6145058	k99_11779 	 7885
SRR6145058	k99_3209 	 7784
SRR6145058	k99_3995 	 7664
SRR6145058	k99_4201 	 7649
SRR6145058	k99_2971 	 7617
SRR6145058	k99_4700 	 7590
SRR6145058	k99_11824 	 7447
SRR6145058	k99_4903 	 7340
SRR6145058	k99_11469 	 7333
SRR6145058	k99_9684 	 7242
SRR6145058	k99_7333 	 7204
SRR6145058	k99_4941 	 7172
SRR6145058	k99_3770 	 7164
SRR6145058	k99_4250 	 7161
SRR6145058	k99_11135 	 7083
SRR6145058	k99_5856 	 6972
SRR6145058	k99_10755 	 6927
SRR6145058	k99_7718 	 6890
SRR6145058	k99_11979 	 6861
SRR6145058	k99_11335 	 6831
SRR6145058	k99_4628 	 6786
SRR6145058	k99_6126 	 6658
SRR6145058	k99_4247 	 6593
SRR6145058	k99_9316 	 6588
SRR6145058	k99_9459 	 6506
SRR6145058	k99_10077 	 6488
SRR6145058	k99_2663 	 6466
SRR6145058	k99_6654 	 6259
SRR6145058	k99_4031 	 6155
SRR6145058	k99_9701 	 6123
SRR6145058	k99_3968 	 6090
SRR6145058	k99_5802 	 5956
SRR6145058	k99_12014 	 5890
SRR6145058	k99_10305 	 5886
SRR6145058	k99_5241 	 5851
SRR6145058	k99_10673 	 5828
SRR6145058	k99_4239 	 5738
SRR6145058	k99_9958 	 5641
SRR6145058	k99_4162 	 5623
SRR6145058	k99_11502 	 5614
SRR6145058	k99_2416 	 5587
SRR6145058	k99_9529 	 5568
SRR6145058	k99_3383 	 5567
