sample	contig	bgc_candidate_id	product_activity	protein_id	gene_start	gene_end	pfam_id	protein_id_1	clan	pfam	family	description	taxid	taxonomy
SRR6145059	k99_3238	k99_3238_1-1707.1	antibacterial	k99_3238_k99_3238_1	1	871	PF01619	0.53068	CL0086	FAD_oxidored	Pro_dh	Proline dehydrogenase	1747	Cutibacterium acnes
SRR6145059	k99_3238	k99_3238_1-1707.1	antibacterial	k99_3238_k99_3238_2	870	1707	PF02517	0.50216	CL0472	Peptidase_U	CPBP	CPBP intramembrane metalloprotease	1747	Cutibacterium acnes
SRR6145059	k99_13514	k99_13514_1-1091.1	antibacterial	k99_13514_k99_13514_1	1	607	PF02585	0.61506	NA	NA	PIG-L	GlcNAc-PI de-N-acetylase	1270	Micrococcus luteus
SRR6145059	k99_13514	k99_13514_1-1091.1	antibacterial	k99_13514_k99_13514_2	644	1091	PF11239	0.5586	NA	NA	DUF3040	Protein of unknown function (DUF3040)	1270	Micrococcus luteus
SRR6145059	k99_13514	k99_13514_1-1091.1	antibacterial	k99_13514_k99_13514_2	644	1091	PF14155	0.4424	NA	NA	DUF4307	Domain of unknown function (DUF4307)	1270	Micrococcus luteus
SRR6145059	k99_8183	k99_8183_2-410.1	antibacterial	k99_8183_k99_8183_1	2	410	PF02754	0.50728	NA	NA	CCG	Cysteine-rich domain	1747	Cutibacterium acnes
SRR6145059	k99_4897	k99_4897_1705-2614.1	antibacterial	k99_4897_k99_4897_2	1705	2614	PF14486	0.55258	CL0103	Gal_mutarotase	DUF4432	Domain of unknown function (DUF4432)	1747	Cutibacterium acnes
SRR6145059	k99_7773	k99_7773_349-5388.1	antibacterial	k99_7773_k99_7773_2	349	1096	PF00300	0.64386	CL0071	His_phosphatase	His_Phos_1	Histidine phosphatase superfamily (branch 1)	1234380	Cutibacterium acnes C1
SRR6145059	k99_7773	k99_7773_349-5388.1	antibacterial	k99_7773_k99_7773_3	1111	1519	PF00355	0.71938	CL0516	ISP-domain	Rieske	Rieske [2Fe-2S] domain	1234380	Cutibacterium acnes C1
SRR6145059	k99_7773	k99_7773_349-5388.1	antibacterial	k99_7773_k99_7773_4	1533	4416	PF02463	0.64906	CL0023	P-loop_NTPase	SMC_N	RecF/RecN/SMC N terminal domain	1234380	Cutibacterium acnes C1
SRR6145059	k99_7773	k99_7773_349-5388.1	antibacterial	k99_7773_k99_7773_4	1533	4416	PF00005	0.69082	CL0023	P-loop_NTPase	ABC_tran	ABC transporter	1234380	Cutibacterium acnes C1
