sample	contig	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids	taxid	name
SRR6145059	k99_3238	deepbgc	0.1.0	deepbgc	k99_3238_1-1707.1	1	1707	1706	2	2	0	0.51642	antibacterial	0.84	0.11	0.13	0.2	NA	0	0.08	0.07	0.32	0.26	0.03	0.29	k99_3238_k99_3238_1;k99_3238_k99_3238_2	NA	PF01619;PF02517	1747	Cutibacterium acnes
SRR6145059	k99_13514	deepbgc	0.1.0	deepbgc	k99_13514_1-1091.1	1	1091	1090	2	3	1	0.55778	antibacterial	0.87	0.08	0.17	0.27	NA	0	0.08	0.07	0.31	0.21	0.06	0.32	k99_13514_k99_13514_1;k99_13514_k99_13514_2	PF02585	PF02585;PF11239;PF14155	1270	Micrococcus luteus
SRR6145059	k99_8183	deepbgc	0.1.0	deepbgc	k99_8183_2-410.1	2	410	408	1	1	0	0.50728	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_8183_k99_8183_1	NA	PF02754	1747	Cutibacterium acnes
SRR6145059	k99_4897	deepbgc	0.1.0	deepbgc	k99_4897_1705-2614.1	1705	2614	909	1	1	0	0.55258	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_4897_k99_4897_2	NA	PF14486	1747	Cutibacterium acnes
SRR6145059	k99_7773	deepbgc	0.1.0	deepbgc	k99_7773_349-5388.1	349	5388	5039	4	9	1	0.69198	antibacterial	0.64	0.2	0.07	0.13	RiPP	0.04	0.02	0.17	0.05	0.68	0.01	0.04	k99_7773_k99_7773_2;k99_7773_k99_7773_3;k99_7773_k99_7773_4;k99_7773_k99_7773_5	PF00355	PF00300;PF00355;PF02463;PF00005;PF03193;PF13191;PF13555;PF11716;PF07398	1234380	Cutibacterium acnes C1
SRR6145059	k99_5889	deepbgc	0.1.0	deepbgc	k99_5889_2-1103.1	2	1103	1101	2	2	1	0.58224	antibacterial	0.55	0.03	0.46	0.13	Polyketide-Terpene	0	0.02	0.02	0.78	0	0.02	0.89	k99_5889_k99_5889_1;k99_5889_k99_5889_2	PF00348	PF00590;PF00348	1747	Cutibacterium acnes
SRR6145059	k99_13024	deepbgc	0.1.0	deepbgc	k99_13024_32-2590.1	32	2590	2558	3	4	0	0.74562	antibacterial	0.84	0.06	0.2	0.25	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_13024_k99_13024_1;k99_13024_k99_13024_2;k99_13024_k99_13024_3	NA	PF02698;PF13377;PF14016;PF00120	1747	Cutibacterium acnes
SRR6145059	k99_12697	deepbgc	0.1.0	deepbgc	k99_12697_45-1224.1	45	1224	1179	1	1	0	0.57636	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_12697_k99_12697_1	NA	PF00872	1760	Actinobacteria
SRR6145059	k99_583	deepbgc	0.1.0	deepbgc	k99_583_2-518.1	2	518	516	1	1	0	0.57793	antibacterial	0.86	0.06	0.17	0.26	NA	0	0.09	0.07	0.36	0.19	0.03	0.31	k99_583_k99_583_1	NA	PF01012	1270	Micrococcus luteus
SRR6145059	k99_8347	deepbgc	0.1.0	deepbgc	k99_8347_905-10623.1	905	10623	9718	16	11	0	0.56292	antibacterial	0.78	0.06	0.15	0.3	NA	0.01	0.08	0.11	0.28	0.28	0.03	0.26	k99_8347_k99_8347_2;k99_8347_k99_8347_3;k99_8347_k99_8347_4;k99_8347_k99_8347_5;k99_8347_k99_8347_6;k99_8347_k99_8347_7;k99_8347_k99_8347_8;k99_8347_k99_8347_9;k99_8347_k99_8347_10;k99_8347_k99_8347_11;k99_8347_k99_8347_12;k99_8347_k99_8347_13;k99_8347_k99_8347_14;k99_8347_k99_8347_15;k99_8347_k99_8347_16;k99_8347_k99_8347_17	NA	PF01527;PF13518;PF13384;PF13551;PF08281;PF13542;PF08808;PF09722;PF04306;PF01850;PF09957	134537	Paraburkholderia fungorum
SRR6145059	k99_8347	deepbgc	0.1.0	deepbgc	k99_8347_13640-14255.1	13640	14255	615	1	7	2	0.54921	NA	0.43	0.37	0.22	0.04	NA	0.01	0	0.41	0.05	0.26	0	0.27	k99_8347_k99_8347_20	PF08242;PF08241	PF13489;PF13847;PF01209;PF08241;PF08242;PF13649;PF06325	134537	Paraburkholderia fungorum
SRR6145059	k99_8347	deepbgc	0.1.0	deepbgc	k99_8347_18615-19612.1	18615	19612	997	2	2	0	0.50382	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_8347_k99_8347_27;k99_8347_k99_8347_28	NA	PF13663;PF13663	134537	Paraburkholderia fungorum
SRR6145059	k99_11301	deepbgc	0.1.0	deepbgc	k99_11301_0-1750.1	0	1750	1750	3	4	0	0.62988	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_11301_k99_11301_1;k99_11301_k99_11301_2;k99_11301_k99_11301_3	NA	PF14698;PF08044;PF08044;PF09685	1747	Cutibacterium acnes
